"","year","gender","year-gender","hiv_incidence","hiv_pop_no_art_CD4_more","hiv_pop_no_art_CD4_less","art_coverage","hiv_prevalence","n1_prop","n2_prop","n3_prop","n4_prop","eta_24","eta_34"
"1",1990,"Males","1990-Males",0.021856305771581,0.55,0.45,0,0.0586815186653847,0.941318481334615,0.0322748352659616,0.0264066833994231,0,0,0
"2",1991,"Males","1991-Males",0.0252377447615585,0.55,0.45,0,0.0740613135442967,0.925938686455703,0.0407337224493632,0.0333275910949335,0,0,0
"3",1992,"Males","1992-Males",0.028432070602161,0.55,0.45,0,0.0906398068305627,0.909360193169437,0.0498518937568095,0.0407879130737532,0,0,0
"4",1993,"Males","1993-Males",0.0313938608952974,0.55,0.45,0,0.107946763865782,0.892053236134218,0.0593707201261801,0.0485760437396019,0,0,0
"5",1994,"Males","1994-Males",0.0340980638738387,0.55,0.45,0,0.125531973527755,0.874468026472245,0.0690425854402653,0.0564893880874898,0,0,0
"6",1995,"Males","1995-Males",0.0356864720837027,0.55,0.45,0,0.14299324336348,0.85700675663652,0.078646283849914,0.064346959513566,0,0,0
"7",1996,"Males","1996-Males",0.0355378653506804,0.55,0.45,0,0.159006581634909,0.840993418365091,0.0874536198992,0.071552961735709,0,0,0
"8",1997,"Males","1997-Males",0.0349064713125083,0.55,0.45,0,0.172507804959143,0.827492195040857,0.0948792927275286,0.0776285122316143,0,0,0
"9",1998,"Males","1998-Males",0.0338769894085682,0.55,0.45,0,0.183366976498427,0.816633023501573,0.100851837074135,0.0825151394242922,0,0,0
"10",1999,"Males","1999-Males",0.0324992827572704,0.55,0.45,0,0.191557847585066,0.808442152414934,0.105356816171786,0.0862010314132797,0,0,0
"11",2000,"Males","2000-Males",0.0321074919768548,0.55,0.45,0,0.197168982724872,0.802831017275128,0.10844294049868,0.0887260422261924,0,0,0
"12",2001,"Males","2001-Males",0.0325301481913425,0.55,0.45,0,0.201500848914049,0.798499151085951,0.110825466902727,0.0906753820113221,0,0,0
"13",2002,"Males","2002-Males",0.0328395367920907,0.55,0.45,0,0.20517458802758,0.79482541197242,0.112846023415169,0.092328564612411,0,0,0
"14",2003,"Males","2003-Males",0.0330482903887312,0.55,0.45,0,0.208274372565996,0.791725627434004,0.114550904911298,0.0937234676546982,0,0,0
"15",2004,"Males","2004-Males",0.0330711502045901,0.55,0.45,0,0.210909405153026,0.789090594846974,0.116000172834164,0.0949092323188617,0,0,0
"16",2005,"Males","2005-Males",0.0327898429925483,0.7,0.3,0.0057,0.213219193230328,0.786780806769672,0.148402690680241,0.0636011531486745,0.00121534940141287,0,0.0546996489983323
"17",2006,"Males","2006-Males",0.0321731050679464,0.7,0.3,0.0218,0.215335328189658,0.784664671810342,0.147448712624586,0.063192305410537,0.00469431015453454,0,0.0894319718925734
"18",2007,"Males","2007-Males",0.0312766400741547,0.7,0.3,0.0476,0.217347114198248,0.782652885801752,0.144900974093688,0.0621004174687234,0.0103457226358366,0,0.122939371286158
"19",2008,"Males","2008-Males",0.0302715614428195,0.7,0.3,0.082,0.219272059951822,0.780727940048178,0.140904225725041,0.0603875253107318,0.0179803089160494,0,0.123871428688828
"20",2009,"Males","2009-Males",0.0292536950082244,0.7,0.3,0.1152,0.221012134993685,0.778987865006315,0.136886075929689,0.0586654611127237,0.0254605979512725,0,0.102983277477106
"21",2010,"Males","2010-Males",0.0281730279477885,0.7,0.3,0.1416,0.222472877198916,0.777527122801084,0.133679502451285,0.0572912153362648,0.0315021594113665,0,0.137272803143571
"22",2011,"Males","2011-Males",0.0265254288156187,0.7,0.3,0.176,0.223674347364077,0.776325652635923,0.1290153635596,0.0552922986683998,0.0393666851360776,0,0.149306624114357
"23",2012,"Males","2012-Males",0.0241933499919528,0.7,0.3,0.212966666666667,0.223613358537075,0.776386641462925,0.123193816863107,0.0527973500841888,0.0476221915897791,0,0.148851793395086
"24",2013,"Males","2013-Males",0.0218635021215611,0.7,0.3,0.249933333333333,0.221983883047421,0.778016116952579,0.116551897847772,0.0499508133633307,0.0554811718363188,0,0.147725931899233
"25",2014,"Males","2014-Males",0.0196623433883972,0.7,0.3,0.2869,0.219101437049639,0.780898562950361,0.109368864332068,0.0468723704280293,0.0628602022895414,0,0.146111823611609
"26",2015,"Males","2015-Males",0.0174225158423553,0.65,0.35,0.323866666666667,0.215239223373136,0.784760776626864,0.0945947688161816,0.0509356447471747,0.0697088098097796,0.0423883470542273,0.0423883470542273
"27",2016,"Males","2016-Males",0.0151950173776167,0.6,0.4,0.360833333333333,0.210284351464707,0.789715648535293,0.0806440487867151,0.0537626991911434,0.0758776034868484,0.0400024430945547,0.0400024430945547
"28",2017,"Males","2017-Males",0.0140197149315532,0.55,0.45,0.3978,0.204258928542878,0.795741071457122,0.0676525997226866,0.0553521270458345,0.0812542017743569,0.103620393788842,0.103620393788842
"29",1990,"Females","1990-Females",0.0371274189785894,0.55,0.45,0,0.0994333471042989,0.900566652895701,0.0546883409073644,0.0447450061969345,0,0,0
"30",1991,"Females","1991-Females",0.0428778257507453,0.55,0.45,0,0.12557594422916,0.87442405577084,0.069066769326038,0.056509174903122,0,0,0
"31",1992,"Females","1992-Females",0.0482594329863607,0.55,0.45,0,0.153506697247382,0.846493302752618,0.0844286834860601,0.0690780137613219,0,0,0
"32",1993,"Females","1993-Females",0.0531975074826597,0.55,0.45,0,0.182350481668406,0.817649518331594,0.100292764917623,0.0820577167507827,0,0,0
"33",1994,"Females","1994-Females",0.0576677481197471,0.55,0.45,0,0.211301339701394,0.788698660298606,0.116215736835767,0.0950856028656273,0,0,0
"34",1995,"Females","1995-Females",0.0602721796431423,0.55,0.45,0,0.239677975524954,0.760322024475046,0.131822886538725,0.107855088986229,0,0,0
"35",1996,"Females","1996-Females",0.0600111623745737,0.55,0.45,0,0.265518644868303,0.734481355131697,0.146035254677567,0.119483390190736,0,0,0
"36",1997,"Females","1997-Females",0.0589622541640323,0.55,0.45,0,0.287352092147438,0.712647907852562,0.158043650681091,0.129308441466347,0,0,0
"37",1998,"Females","1998-Females",0.057258295424496,0.55,0.45,0,0.305074002500346,0.694925997499654,0.16779070137519,0.137283301125156,0,0,0
"38",1999,"Females","1999-Females",0.0549816311602348,0.55,0.45,0,0.318715530075923,0.681284469924077,0.175293541541758,0.143421988534165,0,0,0
"39",2000,"Females","2000-Females",0.0543626169037416,0.55,0.45,0,0.328452416461837,0.671547583538163,0.18064882905401,0.147803587407827,0,0,0
"40",2001,"Females","2001-Females",0.0551259187034329,0.55,0.45,0,0.33612223578563,0.66387776421437,0.184867229682096,0.151255006103533,0,0,0
"41",2002,"Females","2002-Females",0.0557156776902753,0.55,0.45,0,0.342602063161067,0.657397936838933,0.188431134738587,0.15417092842248,0,0,0
"42",2003,"Females","2003-Females",0.0561628451794714,0.55,0.45,0,0.348031294553769,0.651968705446231,0.191417212004573,0.156614082549196,0,0,0
"43",2004,"Females","2004-Females",0.0563526418716989,0.55,0.45,0,0.352615286996776,0.647384713003224,0.193938407848227,0.158676879148549,0,0,0
"44",2005,"Females","2005-Females",0.0561098123979208,0.7,0.3,0.0077,0.356685320269274,0.643314679730726,0.24775719031224,0.10618165299096,0.00274647696607341,0,0.0739830501274069
"45",2006,"Females","2006-Females",0.0553727898276837,0.7,0.3,0.0294,0.360616310269202,0.639383689730798,0.245009933523101,0.105004257224186,0.0106021195219145,0,0.122355972963021
"46",2007,"Females","2007-Females",0.054199844260432,0.7,0.3,0.0643,0.364697007462506,0.635302992537494,0.238872892917867,0.1023740969648,0.0234500175798391,0,0.170327150971935
"47",2008,"Females","2008-Females",0.0528569278643016,0.7,0.3,0.1108,0.369017200804857,0.630982799195143,0.229691066468975,0.0984390284867036,0.0408871058491782,0,0.175229430236266
"48",2009,"Females","2009-Females",0.051534749310352,0.7,0.3,0.1557,0.373388058599324,0.626611941400676,0.220676076512786,0.0945754613626228,0.0581365207239148,0,0.149022977390168
"49",2010,"Females","2010-Females",0.0500463627807634,0.7,0.3,0.1913,0.377576777648832,0.622423222351168,0.213742438059227,0.0916039020253831,0.0722304375642216,0,0.201958110641194
"50",2011,"Females","2011-Females",0.0481417421968398,0.7,0.3,0.2378,0.381541583450921,0.618458416549079,0.203567696434404,0.0872432984718876,0.090730588544629,0,0.290666437856627
"51",2012,"Females","2012-Females",0.0456705723566028,0.7,0.3,0.301883333333333,0.384550170612207,0.615449829387793,0.187922618291724,0.0805382649821676,0.116089287338315,0,0.315318623355037
"52",2013,"Females","2013-Females",0.0430407712349595,0.7,0.3,0.365966666666667,0.386604888004086,0.613395111995914,0.171584270076933,0.0735361157472572,0.141484502179895,0,0.345496143128086
"53",2014,"Females","2014-Females",0.0403316631350704,0.7,0.3,0.43005,0.388073355542828,0.611926644457172,0.154827686294144,0.0663547226974904,0.166890946551193,0,0.382448472997774
"54",2015,"Females","2015-Females",0.0375207501305778,0.65,0.35,0.494133333333333,0.389101879903614,0.610898120096386,0.127941886137374,0.0688917848432012,0.192268208923039,0.127242569264103,0.127242569264103
"55",2016,"Females","2016-Females",0.0346609174895146,0.6,0.4,0.558216666666667,0.389300147976519,0.610699852023481,0.103191790224136,0.0687945268160906,0.217313830936293,0.141568482930697,0.141568482930697
"56",2017,"Females","2017-Females",0.0327877900221015,0.55,0.45,0.6223,0.388336289449647,0.611663710550353,0.0806710390888224,0.0660035774363092,0.241661672924515,0.213658830804681,0.213658830804681
