"","TB_compartment","DR_compartment","HIV_compartment","G_compartment","compartment_id","dcompartment_id","total_pop"
"1",1,1,1,1,"N_8_2_4_2","dN_8_2_4_2",24993.3020581115
"2",1,1,1,2,"N_8_2_4_2","dN_8_2_4_2",26436.8844164562
"3",1,1,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"4",1,1,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"5",1,1,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"6",1,1,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"7",1,1,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"8",1,1,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"9",1,2,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"10",1,2,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"11",1,2,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"12",1,2,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"13",1,2,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"14",1,2,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"15",1,2,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"16",1,2,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"17",2,1,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"18",2,1,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"19",2,1,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"20",2,1,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"21",2,1,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"22",2,1,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"23",2,1,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"24",2,1,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"25",2,2,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"26",2,2,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"27",2,2,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"28",2,2,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"29",2,2,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"30",2,2,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"31",2,2,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"32",2,2,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"33",3,1,1,1,"N_8_2_4_2","dN_8_2_4_2",22067.3141632537
"34",3,1,1,2,"N_8_2_4_2","dN_8_2_4_2",23757.2755105182
"35",3,1,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"36",3,1,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"37",3,1,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"38",3,1,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"39",3,1,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"40",3,1,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"41",3,2,1,1,"N_8_2_4_2","dN_8_2_4_2",824.090570411963
"42",3,2,1,2,"N_8_2_4_2","dN_8_2_4_2",887.201160143834
"43",3,2,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"44",3,2,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"45",3,2,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"46",3,2,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"47",3,2,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"48",3,2,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"49",4,1,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"50",4,1,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"51",4,1,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"52",4,1,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"53",4,1,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"54",4,1,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"55",4,1,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"56",4,1,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"57",4,2,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"58",4,2,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"59",4,2,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"60",4,2,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"61",4,2,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"62",4,2,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"63",4,2,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"64",4,2,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"65",5,1,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"66",5,1,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"67",5,1,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"68",5,1,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"69",5,1,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"70",5,1,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"71",5,1,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"72",5,1,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"73",5,2,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"74",5,2,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"75",5,2,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"76",5,2,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"77",5,2,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"78",5,2,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"79",5,2,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"80",5,2,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"81",6,1,1,1,"N_8_2_4_2","dN_8_2_4_2",166.988499909049
"82",6,1,1,2,"N_8_2_4_2","dN_8_2_4_2",864.650979479364
"83",6,1,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"84",6,1,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"85",6,1,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"86",6,1,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"87",6,1,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"88",6,1,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"89",6,2,1,1,"N_8_2_4_2","dN_8_2_4_2",0.468934396242705
"90",6,2,1,2,"N_8_2_4_2","dN_8_2_4_2",1.82370731994261
"91",6,2,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"92",6,2,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"93",6,2,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"94",6,2,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"95",6,2,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"96",6,2,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"97",7,1,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"98",7,1,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"99",7,1,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"100",7,1,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"101",7,1,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"102",7,1,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"103",7,1,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"104",7,1,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"105",7,2,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"106",7,2,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"107",7,2,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"108",7,2,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"109",7,2,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"110",7,2,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"111",7,2,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"112",7,2,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"113",8,1,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"114",8,1,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"115",8,1,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"116",8,1,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"117",8,1,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"118",8,1,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"119",8,1,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"120",8,1,4,2,"N_8_2_4_2","dN_8_2_4_2",0
"121",8,2,1,1,"N_8_2_4_2","dN_8_2_4_2",0
"122",8,2,1,2,"N_8_2_4_2","dN_8_2_4_2",0
"123",8,2,2,1,"N_8_2_4_2","dN_8_2_4_2",0
"124",8,2,2,2,"N_8_2_4_2","dN_8_2_4_2",0
"125",8,2,3,1,"N_8_2_4_2","dN_8_2_4_2",0
"126",8,2,3,2,"N_8_2_4_2","dN_8_2_4_2",0
"127",8,2,4,1,"N_8_2_4_2","dN_8_2_4_2",0
"128",8,2,4,2,"N_8_2_4_2","dN_8_2_4_2",0
