"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate","level"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,1,1,1,1,0.00673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,1,2,5,1,0.0336635097955872,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,1,3,10,1,0.0673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,1,4,1.2,1,0.00807924235094093,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,2,1,1,1,0.00673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,2,2,5,1,0.0336635097955872,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,2,3,10,1,0.0673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,2,4,1.2,1,0.00807924235094093,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,3,1,1,1,0.00673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,3,2,5,1,0.0336635097955872,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,3,3,10,1,0.0673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,3,4,1.2,1,0.00807924235094093,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,4,1,1,1,0.00673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,4,2,5,1,0.0336635097955872,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,4,3,10,1,0.0673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,4,4,1.2,1,0.00807924235094093,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,5,1,1,1,0.00673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,5,2,5,1,0.0336635097955872,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,5,3,10,1,0.0673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,5,4,1.2,1,0.00807924235094093,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,6,1,1,14,0.0942578274276442,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,6,2,5,4,0.134654039182349,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,6,3,10,3,0.201981058773523,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,6,4,1.2,14.1666666666667,0.114455933304996,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,7,1,1,1,0.00673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,7,2,5,1,0.0336635097955872,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,7,3,10,1,0.0673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,7,4,1.2,1,0.00807924235094093,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,8,1,1,1,0.00673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,8,2,5,1,0.0336635097955872,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,8,3,10,1,0.0673270195911744,"L"
1,"male",1990,9753494.35999938,94901.12007323,9658593.23992614,65028.4296287692,0.00673270195911744,8,4,1.2,1,0.00807924235094093,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,1,1,1,1,0.00684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,1,2,5,1,0.0342215672258017,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,1,3,10,1,0.0684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,1,4,1.2,1,0.0082131761341924,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,2,1,1,1,0.00684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,2,2,5,1,0.0342215672258017,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,2,3,10,1,0.0684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,2,4,1.2,1,0.0082131761341924,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,3,1,1,1,0.00684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,3,2,5,1,0.0342215672258017,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,3,3,10,1,0.0684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,3,4,1.2,1,0.0082131761341924,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,4,1,1,1,0.00684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,4,2,5,1,0.0342215672258017,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,4,3,10,1,0.0684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,4,4,1.2,1,0.0082131761341924,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,5,1,1,1,0.00684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,5,2,5,1,0.0342215672258017,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,5,3,10,1,0.0684431344516034,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,5,4,1.2,1,0.0082131761341924,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,6,1,1,14,0.0958203882322447,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,6,2,5,4,0.136886268903207,"L"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,6,3,10,3,0.20532940335481,"L"
