measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,1,Number,1990,5216.079465,6222.118918,4117.408113
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,1,Number,1990,4167.747895,5014.262588,3337.742269
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,1,Number,1990,9383.82736,10650.93574,8140.80982
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,2,Percent,1990,0.104537693,0.12343528,0.082199456
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,2,Percent,1990,0.117692776,0.140717634,0.094689517
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,2,Percent,1990,0.109995836,0.123954344,0.095951468
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1990,56.67683304,67.60824819,44.73889897
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1990,42.55532048,51.19876652,34.08044237
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1990,49.39659184,56.06666716,42.853331
1,Deaths,196,South Africa,1,Male,24,15-49 years,298,HIV/AIDS,1,Number,1990,257.1801161,348.7737794,202.291978
1,Deaths,196,South Africa,2,Female,24,15-49 years,298,HIV/AIDS,1,Number,1990,191.449455,287.9131268,135.2890343
1,Deaths,196,South Africa,3,Both,24,15-49 years,298,HIV/AIDS,1,Number,1990,448.6295711,631.9966782,341.3705277
1,Deaths,196,South Africa,1,Male,24,15-49 years,298,HIV/AIDS,2,Percent,1990,0.005156188,0.006981093,0.004014661
1,Deaths,196,South Africa,2,Female,24,15-49 years,298,HIV/AIDS,2,Percent,1990,0.005408785,0.008104344,0.003816015
1,Deaths,196,South Africa,3,Both,24,15-49 years,298,HIV/AIDS,2,Percent,1990,0.005259654,0.007454473,0.003982024
1,Deaths,196,South Africa,1,Male,24,15-49 years,298,HIV/AIDS,3,Rate,1990,2.794465575,3.789703243,2.198062499
1,Deaths,196,South Africa,2,Female,24,15-49 years,298,HIV/AIDS,3,Rate,1990,1.954819034,2.939773636,1.381385908
1,Deaths,196,South Africa,3,Both,24,15-49 years,298,HIV/AIDS,3,Rate,1990,2.36159202,3.326838907,1.796978991
1,Deaths,196,South Africa,1,Male,24,15-49 years,300,HIV/AIDS resulting in other diseases,1,Number,1990,141.4556331,191.8255801,111.2605865
1,Deaths,196,South Africa,2,Female,24,15-49 years,300,HIV/AIDS resulting in other diseases,1,Number,1990,105.3054251,158.352211,74.4089697
1,Deaths,196,South Africa,3,Both,24,15-49 years,300,HIV/AIDS resulting in other diseases,1,Number,1990,246.7610582,347.5981672,187.7537896
1,Deaths,196,South Africa,1,Male,24,15-49 years,300,HIV/AIDS resulting in other diseases,2,Percent,1990,0.002836038,0.003839601,0.002208063
1,Deaths,196,South Africa,2,Female,24,15-49 years,300,HIV/AIDS resulting in other diseases,2,Percent,1990,0.002975061,0.004457389,0.002098808
1,Deaths,196,South Africa,3,Both,24,15-49 years,300,HIV/AIDS resulting in other diseases,2,Percent,1990,0.002892984,0.00409996,0.002190113
1,Deaths,196,South Africa,1,Male,24,15-49 years,300,HIV/AIDS resulting in other diseases,3,Rate,1990,1.537027446,2.084336799,1.208934359
1,Deaths,196,South Africa,2,Female,24,15-49 years,300,HIV/AIDS resulting in other diseases,3,Rate,1990,1.07523445,1.61687541,0.759762258
1,Deaths,196,South Africa,3,Both,24,15-49 years,300,HIV/AIDS resulting in other diseases,3,Rate,1990,1.298953488,1.829761368,0.988338442
1,Deaths,196,South Africa,1,Male,24,15-49 years,934,Drug-susceptible tuberculosis,1,Number,1992,5468.402957,6399.979828,4484.025932
1,Deaths,196,South Africa,2,Female,24,15-49 years,934,Drug-susceptible tuberculosis,1,Number,1992,4283.435428,5157.982791,3603.823454
1,Deaths,196,South Africa,3,Both,24,15-49 years,934,Drug-susceptible tuberculosis,1,Number,1992,9751.838385,10905.93314,8676.070514
1,Deaths,196,South Africa,1,Male,24,15-49 years,934,Drug-susceptible tuberculosis,2,Percent,1992,0.099146019,0.116115142,0.081556628
1,Deaths,196,South Africa,2,Female,24,15-49 years,934,Drug-susceptible tuberculosis,2,Percent,1992,0.111228248,0.134039903,0.093584178
1,Deaths,196,South Africa,3,Both,24,15-49 years,934,Drug-susceptible tuberculosis,2,Percent,1992,0.104112553,0.115908809,0.092746162
1,Deaths,196,South Africa,1,Male,24,15-49 years,934,Drug-susceptible tuberculosis,3,Rate,1992,56.41046207,66.02033942,46.2559136
1,Deaths,196,South Africa,2,Female,24,15-49 years,934,Drug-susceptible tuberculosis,3,Rate,1992,41.49746837,49.96999052,34.91345961
1,Deaths,196,South Africa,3,Both,24,15-49 years,934,Drug-susceptible tuberculosis,3,Rate,1992,48.71994179,54.48577048,43.34543229
1,Deaths,196,South Africa,1,Male,24,15-49 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,61.48316494,176.6725278,14.39461039
