"sim_id","beta_1","beta_2","variable","value","TB_compartment","DR_compartment","HIV_compartment","G_compartment"
1,16,16,"N_1_1_1_1",5864.5023018477,"1","1","1","1"
2,16,16.4,"N_1_1_1_1",5693.93158104784,"1","1","1","1"
3,16,16.8,"N_1_1_1_1",5527.42981431253,"1","1","1","1"
4,16,17.2,"N_1_1_1_1",5365.01265489523,"1","1","1","1"
5,16,17.6,"N_1_1_1_1",5206.69190497889,"1","1","1","1"
6,16,18,"N_1_1_1_1",5052.47495655843,"1","1","1","1"
7,16.4,16,"N_1_1_1_1",5722.89904170064,"1","1","1","1"
8,16.4,16.4,"N_1_1_1_1",5555.75136546732,"1","1","1","1"
9,16.4,16.8,"N_1_1_1_1",5392.68430872328,"1","1","1","1"
10,16.4,17.2,"N_1_1_1_1",5233.70891094611,"1","1","1","1"
11,16.4,17.6,"N_1_1_1_1",5078.83378305243,"1","1","1","1"
12,16.4,18,"N_1_1_1_1",4928.06070729029,"1","1","1","1"
13,16.8,16,"N_1_1_1_1",5584.17590448584,"1","1","1","1"
14,16.8,16.4,"N_1_1_1_1",5420.45946895747,"1","1","1","1"
15,16.8,16.8,"N_1_1_1_1",5260.83028230973,"1","1","1","1"
16,16.8,17.2,"N_1_1_1_1",5105.29920597444,"1","1","1","1"
17,16.8,17.6,"N_1_1_1_1",4953.86742586247,"1","1","1","1"
18,16.8,18,"N_1_1_1_1",4806.53251586971,"1","1","1","1"
19,17.2,16,"N_1_1_1_1",5448.33800313268,"1","1","1","1"
20,17.2,16.4,"N_1_1_1_1",5288.05663558189,"1","1","1","1"
21,17.2,16.8,"N_1_1_1_1",5131.87041257275,"1","1","1","1"
22,17.2,17.2,"N_1_1_1_1",4979.78061502379,"1","1","1","1"
23,17.2,17.6,"N_1_1_1_1",4831.78632519687,"1","1","1","1"
24,17.2,18,"N_1_1_1_1",4687.87986020105,"1","1","1","1"
25,17.6,16,"N_1_1_1_1",5315.38829785642,"1","1","1","1"
26,17.6,16.4,"N_1_1_1_1",5158.54637290579,"1","1","1","1"
27,17.6,16.8,"N_1_1_1_1",5005.79987844068,"1","1","1","1"
28,17.6,17.2,"N_1_1_1_1",4857.1472515661,"1","1","1","1"
29,17.6,17.6,"N_1_1_1_1",4712.58150109865,"1","1","1","1"
30,17.6,18,"N_1_1_1_1",4572.08972590836,"1","1","1","1"
31,18,16,"N_1_1_1_1",5185.32866243486,"1","1","1","1"
32,18,16.4,"N_1_1_1_1",5031.92487987278,"1","1","1","1"
33,18,16.8,"N_1_1_1_1",4882.61471090558,"1","1","1","1"
34,18,17.2,"N_1_1_1_1",4737.3901538336,"1","1","1","1"
35,18,17.6,"N_1_1_1_1",4596.24064844659,"1","1","1","1"
36,18,18,"N_1_1_1_1",4459.14656487283,"1","1","1","1"
1,16,16,"N_1_1_1_2",6025.73941185163,"1","1","1","2"
2,16,16.4,"N_1_1_1_2",5843.97483210709,"1","1","1","2"
3,16,16.8,"N_1_1_1_2",5666.8905231888,"1","1","1","2"
4,16,17.2,"N_1_1_1_2",5494.48040614013,"1","1","1","2"
5,16,17.6,"N_1_1_1_2",5326.73534757625,"1","1","1","2"
