"year","sex","val_rate","upper_rate","lower_rate"
1990,"Female",1331.54917095317,1940.80321886693,884.846120225659
1990,"Male",848.314827577345,1281.88309802641,548.777535898779
1991,"Female",2153.37233861717,3107.09032801577,1450.2183312481
1991,"Male",1368.75918253197,2053.16071881361,883.52923105826
1992,"Female",3393.59228629713,4869.86749515017,2296.74055375888
1992,"Male",2148.29626117015,3267.11066656558,1382.28035488486
1993,"Female",5143.59396274092,7400.83924628444,3488.91459488739
1993,"Male",3246.38639580974,4975.38520484914,2077.84763131677
1994,"Female",7420.42705391063,10547.4794551139,5084.20121874057
1994,"Male",4675.58076045686,7200.1416665006,2981.50498524549
1995,"Female",10129.463315697,14132.7256674746,7051.2968201032
1995,"Male",6380.38864703114,9675.00044617761,4088.79217283078
1996,"Female",13083.1702919064,17779.0662237399,9333.44783260453
1996,"Male",8247.95245706976,12302.8555073566,5407.93644878737
1997,"Female",16034.7368422772,21133.8831293476,11757.0477457804
1997,"Male",10124.7209443811,14847.853076648,6784.75919496214
1998,"Female",18748.1320881619,24181.1477579488,14096.7664431484
1998,"Male",11862.2174151967,17081.6979155153,8072.66658580299
1999,"Female",21072.6569483425,26526.2613432162,16155.949408554
1999,"Male",13363.7235399816,18859.8254010286,9221.95369729389
2000,"Female",22938.5473117629,28463.2126076766,17859.0445961816
2000,"Male",14599.3808653531,20344.6251432701,10176.24803971
2001,"Female",24356.7709158426,29968.7449620053,19168.9297638967
2001,"Male",15548.9275772544,21511.7061257958,10914.4796713816
2002,"Female",25373.782102297,31001.092340376,20093.4607404225
2002,"Male",16233.3872977215,22328.45154673,11526.8271400269
2003,"Female",26077.4496982822,31725.5467556444,20780.1727122976
2003,"Male",16688.4914767561,22806.3541291492,11925.4431921558
2004,"Female",26552.42964006,32209.8134051735,21270.600949253
2004,"Male",16978.731950627,23112.1460188059,12171.0272826571
2005,"Female",26847.9334422965,32490.7608414556,21508.9213152935
2005,"Male",17175.3402196219,23232.0250018899,12401.4756490001
2006,"Female",27042.9656465934,32593.5120884742,21727.6148598497
2006,"Male",17330.2063972123,23279.2024650559,12626.3050260832
2007,"Female",27205.6305582615,32694.6915063165,22009.1272568321
2007,"Male",17477.6454792559,23278.8030802196,12792.4241224679
2008,"Female",27493.5600231978,32911.5958819447,22292.0036191955
2008,"Male",17676.0125845818,23504.0560081724,13063.6771992176
2009,"Female",28056.8382053441,33378.0753754293,23000.107285312
2009,"Male",17955.7634804741,23679.9766696021,13489.7434973353
2010,"Female",28827.6539361731,34028.0785003159,23798.672355721
2010,"Male",18328.3937892483,24064.178006022,13835.0238938496
2011,"Female",29585.9630943318,34602.9588010327,24776.8790042009
2011,"Male",18828.0588782833,24581.8517163613,14324.8557189467
2012,"Female",30498.2827371511,35465.5705083323,25636.1516692876
2012,"Male",19405.6012417063,25045.0568112305,14890.0199844325
2013,"Female",31501.7629115249,36436.5775764085,26679.0116130027
2013,"Male",20036.6250122668,25566.9789868227,15510.976198115
2014,"Female",32425.6276936611,37268.0460768096,27677.3882546592
2014,"Male",20639.9965330051,26081.4497703268,16132.1243962967
2015,"Female",33276.7424324691,38174.5441639787,28496.2389868098
2015,"Male",21198.2898919838,26635.7033754082,16708.0747942047
2016,"Female",34039.8852371203,39019.6875053413,29157.0498723591
2016,"Male",21683.4624558812,27139.7440144957,17160.5105354972
2017,"Female",34706.6721373293,39800.1067638933,29700.82913731
2017,"Male",22065.526800617,27565.1994958337,17516.1321911301
2018,"Female",35248.2787703371,40569.3376333746,30097.3745749814
2018,"Male",22360.6516714611,27963.9190559766,17742.354672947
2019,"Female",35544.8136841507,41125.128008149,30222.0097987725
2019,"Male",22502.3281272039,28232.1801407623,17746.6959485434
