"year","sex","TB_HIV_coinfection","val_rate","upper_rate","lower_rate"
1990,"Female","no",650.626924043719,988.477662305268,366.476405844542
1990,"Female","yes",259.253189927352,302.651045762624,223.045040075529
1990,"Male","no",451.672276029691,683.758150294772,257.982365541166
1990,"Male","yes",166.043552483864,193.774798436845,142.863448558212
1991,"Female","no",581.184089908665,916.05303303476,294.002929673357
1991,"Female","yes",334.22463046216,389.385741556765,290.353072267684
1991,"Male","no",396.718113740675,619.486942473403,214.308620081736
1991,"Male","yes",214.450320649512,248.235000685342,184.446658965973
1992,"Female","no",519.400991157648,860.116840317426,226.217610481165
1992,"Female","yes",414.340141285383,484.039696736439,360.351050854969
1992,"Male","no",346.4739031905,565.034138166392,173.946204760335
1992,"Male","yes",265.154332870475,308.366351649457,227.186976599276
1993,"Female","no",468.668407600483,820.946623234151,169.795675962492
1993,"Female","yes",498.56073113057,586.120205534789,430.419729189334
1993,"Male","no",303.78484002096,520.147537035999,139.148377425961
1993,"Male","yes",317.611104751748,372.940722920064,269.394681148711
1994,"Female","no",432.433740310285,802.045011196384,128.715601180706
1994,"Female","yes",585.889315831126,691.709382523332,500.080684495575
1994,"Male","no",271.545066881282,488.963241456588,114.0588036173
1994,"Male","yes",371.243438273297,440.663041134628,307.846983657391
1995,"Female","no",414.211591200704,799.698445737493,104.478944561048
1995,"Female","yes",675.322642390416,805.45349692567,567.520360327481
1995,"Male","no",252.679806658948,475.91632810504,99.6873061805789
1995,"Male","yes",425.419837497269,512.530074395594,340.691856507401
1996,"Female","no",409.553264551739,801.14810865951,109.961693580481
1996,"Female","yes",774.342521405114,921.772864520306,646.826749338266
1996,"Male","no",242.875960016448,460.624936352134,97.323524512312
1996,"Male","yes",483.276548103104,584.639083638447,383.222166156532
1997,"Female","no",411.296989966877,822.366228924767,116.827479709819
1997,"Female","yes",885.680479136373,1060.42023623659,732.453841407881
1997,"Male","no",235.647880537893,448.710136795923,96.1315626323355
1997,"Male","yes",546.004860194198,668.774733524711,427.048861182327
1998,"Female","no",418.55990376737,856.75101895411,125.927700949974
1998,"Female","yes",1000.28603499179,1209.91653758613,817.031964686372
1998,"Male","no",230.989644805984,450.423989061493,95.2756944440044
1998,"Male","yes",609.400109737447,760.220083345525,469.760445991839
1999,"Female","no",430.156184204444,905.32713155814,134.259423124676
1999,"Female","yes",1109.11579050667,1365.20363508809,890.199124444741
1999,"Male","no",228.953595699729,458.035963578518,95.5142008955975
1999,"Male","yes",669.64055048116,853.954806327812,505.763776084672
2000,"Female","no",444.776215064165,968.334597614651,141.271605492856
2000,"Female","yes",1203.51125665059,1494.35390301605,946.195727643844
2000,"Male","no",229.416267556626,474.406387504987,96.2182117522982
2000,"Male","yes",723.177396121403,938.325983242343,530.344983147908
2001,"Female","no",469.584015677981,1012.57812150964,155.044341048542
2001,"Female","yes",1298.33569737786,1615.55736534347,1015.53991848478
2001,"Male","no",232.615924378972,472.775332825897,101.108041133775
2001,"Male","yes",778.339089755364,1008.02414037091,573.863910197489
2002,"Female","no",506.592221355458,1090.89047818272,172.07250686017
2002,"Female","yes",1401.97866992098,1742.2446122855,1091.55257814516
2002,"Male","no",238.101853965451,482.019564884195,105.481650364261
2002,"Male","yes",839.017395642427,1085.2459185663,619.508832476746
2003,"Female","no",547.287339620168,1180.84823794731,186.98280832279
2003,"Female","yes",1496.01224685733,1865.77512549903,1158.87897676463
