"program_id","variable","mean","min","max"
1,"undisc_cost_total",104576310.693425,92668627.4637242,117260448.583443
1,"disc_cost_total",91817243.2542444,81351700.0128217,102971563.121123
1,"undisc_YLL_total",36280.7874948795,25429.8177151814,44612.8579007694
1,"disc_YLL_total",33382.1904759083,23398.3608362136,41049.5245037589
1,"undisc_YLD_total",45510.4107286117,38039.9839708066,54716.1972904626
1,"disc_YLD_total",39874.4758430665,33340.1188497828,47950.7002030114
1,"undisc_DALY",81791.1982234912,69875.8845611616,92455.5635816335
1,"disc_DALY",73256.6663189748,62486.2494196811,82818.3679528058
2,"undisc_cost_total",119549832.582746,107427472.568344,134826486.401445
2,"disc_cost_total",105069173.952485,94395700.0635083,118513936.348046
2,"undisc_YLL_total",23786.3459054372,16892.0880082633,29483.9943326185
2,"disc_YLL_total",22103.3377140324,15700.6926516563,27390.6080313051
2,"undisc_YLD_total",35610.189694601,30618.6533670639,41868.7800896622
2,"disc_YLD_total",31400.3176123056,26970.8192300254,36942.6923831953
2,"undisc_DALY",59396.5356000382,51496.7770367341,66507.4071435962
2,"disc_DALY",53503.655326338,46296.4186327429,59887.5897808708
3,"undisc_cost_total",118792140.184845,107049536.316752,133975683.838401
3,"disc_cost_total",104441957.015141,94086151.509979,117810802.243281
3,"undisc_YLL_total",23593.3315225234,16758.8734800687,29290.7664773263
3,"disc_YLL_total",21932.1836229672,15582.4092136196,27218.2455799126
3,"undisc_YLD_total",35375.1715668631,30446.3090363538,41611.7016367134
3,"disc_YLD_total",31200.3646564146,26823.8948469297,36723.6607075818
3,"undisc_DALY",58968.5030893864,51293.6654521191,66002.7352509801
3,"disc_DALY",53132.5482793818,46138.2502119828,59450.0368077595
