Average of n_ipt,Column Labels,,,
Row Labels,1,2,3,Grand Total
0,975.5920477,975.5920477,975.5920477,975.5920477
0.083333333,977.6921819,943.7604364,1240.082567,1053.845062
0.166666667,979.1049191,922.450939,1466.27109,1122.608983
0.25,979.8839098,909.468211,1658.420494,1182.590871
0.333333333,980.0798168,903.0068698,1820.381951,1234.489546
0.416666667,979.7422266,901.5881101,1955.627672,1278.986003
0.5,978.9186983,904.002366,2067.283791,1316.734952
0.583333333,977.6545931,909.2666846,2158.159483,1348.360254
0.666666667,975.9929142,916.5848041,2230.775592,1374.451103
0.75,973.9742511,925.3156548,2287.390676,1395.560194
0.833333333,971.6367131,934.9463507,2330.025273,1412.202779
0.916666667,969.0159307,945.0699425,2360.484305,1424.856726
1,966.1448524,955.3664882,2380.371619,1433.960987
1.083333333,963.0545637,965.584282,2391.120975,1439.91994
1.166666667,959.7713454,975.5177921,2393.94429,1443.077809
1.25,956.3195904,985.01037,2389.92261,1443.750857
1.333333333,952.7222351,993.9482539,2380.025675,1442.232055
1.416666667,949.0006056,1002.252427,2365.120825,1438.791286
1.5,945.1745319,1009.871652,2345.982162,1433.676115
1.583333333,941.2623642,1016.776842,2323.298671,1427.112626
1.666666667,937.2810273,1022.956444,2297.682019,1419.306497
1.75,933.2460849,1028.412569,2269.673711,1410.444122
1.833333333,929.1717978,1033.157841,2239.751867,1400.693835
1.916666667,925.0711926,1037.21282,2208.337345,1390.207119
2,920.9561392,1040.6037,2175.799327,1379.119722
2.083333333,916.8370276,1043.360043,2142.455875,1367.550982
2.166666667,912.7218328,1045.508778,2108.565557,1355.598722
2.25,908.6176568,1047.07908,2074.352763,1343.349833
2.333333333,904.5312959,1048.102618,2040.014599,1330.882838
2.416666667,900.4690064,1048.612478,2005.723896,1318.26846
2.5,896.4365878,1048.642433,1971.630908,1305.569976
2.583333333,892.4393677,1048.226298,1937.865481,1292.843716
2.666666667,888.4822056,1047.397451,1904.538929,1280.139529
2.75,884.5695088,1046.188487,1871.745764,1267.501253
2.833333333,880.7052429,1044.630937,1839.565361,1254.96718
2.916666667,876.8929472,1042.755076,1808.063541,1242.570522
3,873.1358319,1040.589752,1777.294205,1230.33993
3.083333333,869.4362062,1038.161855,1747.297759,1218.298607
3.166666667,865.7947674,1035.494683,1718.09809,1206.462513
3.25,862.2120977,1032.610184,1689.711815,1194.844699
3.333333333,858.6888392,1029.529423,1662.150599,1183.456287
3.416666667,855.2256918,1026.272504,1635.421771,1172.306656
3.5,851.8233603,1022.858505,1609.528608,1161.403491
3.583333333,848.4825181,1019.30543,1584.470692,1150.75288
3.666666667,845.2037815,1015.630203,1560.244327,1140.359437
3.75,841.9876927,1011.848673,1536.842864,1130.22641
3.833333333,838.8347033,1007.975631,1514.257038,1120.355791
3.916666667,835.7451662,1004.024831,1492.475298,1110.748432
4,832.719447,1000.009009,1471.484334,1101.404263
4.083333333,829.7572011,995.9396922,1451.267383,1092.321425
4.166666667,826.8568782,991.8263077,1431.80252,1083.495235
4.25,824.0170524,987.6774966,1413.067206,1074.920585
4.333333333,821.2365471,983.5015097,1395.039474,1066.59251
4.416666667,818.5143853,979.3060754,1377.697811,1058.50609
4.5,815.8497839,975.0984492,1361.021071,1050.656435
4.583333333,813.2420765,970.8853975,1344.98844,1043.038638
4.666666667,810.6906823,966.6732023,1329.579387,1035.647757
4.75,808.1950764,962.4676749,1314.77366,1028.478804
4.833333333,805.7547659,958.2741676,1300.551281,1021.526738
4.916666667,803.3692716,954.0975913,1286.892554,1014.786472
5,801.0382264,949.9424761,1273.778182,1008.252961
5.083333333,798.7606742,945.8126186,1261.188097,1001.920463
5.166666667,796.5346353,941.7107063,1249.099629,995.781657
5.25,794.3582952,937.6391179,1237.49102,989.8294778
5.333333333,792.230161,933.600179,1226.341894,984.0574114
5.416666667,790.1489659,929.5960917,1215.633201,978.4594196
5.5,788.113685,925.6289397,1205.346977,973.0298672
5.583333333,786.1234509,921.7006684,1195.466208,967.7634423
5.666666667,784.1775197,917.8130772,1185.97472,962.6551055
5.75,782.2752396,913.9678144,1176.857082,957.7000452
5.833333333,780.4160246,910.1663752,1168.098532,952.8936438
5.916666667,778.5993346,906.4101022,1159.68492,948.2314523
6,776.824776,902.7002698,1151.60274,943.7092621
6.083333333,775.0913988,899.0376212,1143.838115,939.3223783
6.166666667,773.3973397,895.4222154,1136.375157,935.064904
6.25,771.7409171,891.8540631,1129.199023,930.9313344
6.333333333,770.1207666,888.3332314,1122.296004,926.9166675
6.416666667,768.5357445,884.8598453,1115.653672,923.0164205
6.5,766.9849527,881.4340602,1109.260551,919.2265215
6.583333333,765.4676523,878.0560394,1103.105994,915.5432285
6.666666667,763.9832321,874.7259381,1097.180057,911.9630757
6.75,762.5311768,871.443892,1091.473416,908.4828284
6.833333333,761.1110423,868.2100075,1085.977281,905.0994435
6.916666667,759.7224349,865.0243552,1080.68333,901.8100402
7,758.365084,861.8870343,1075.583764,898.6119607
7.083333333,757.0382383,858.7977733,1070.670269,895.5020936
7.166666667,755.7403218,855.7557102,1065.932639,892.4762237
7.25,754.4698716,852.7600625,1061.361547,889.5304938
7.333333333,753.2257367,849.8101632,1056.948556,886.6614852
7.416666667,752.0069957,846.9054466,1052.686244,883.8662286
7.5,750.8129479,844.0454442,1048.567953,881.142115
7.583333333,749.6430452,841.2297477,1044.587644,878.4868124
7.666666667,748.4968599,838.4579925,1040.739796,875.8982162
7.75,747.3740549,835.7298434,1037.019323,873.3744072
7.833333333,746.2743597,833.0449818,1033.421502,870.9136145
7.916666667,745.1975512,830.4030971,1029.941912,868.5141867
8,744.1434904,827.8039746,1026.576531,866.1746652
8.083333333,743.1116844,825.2469999,1023.320593,863.8930924
8.166666667,742.1007639,822.7311107,1020.167564,861.6664794
8.25,741.1095047,820.2553238,1017.111506,859.4921114
8.333333333,740.1369738,817.8188132,1014.147322,857.367703
8.416666667,739.1824466,815.4208487,1011.270641,855.2913122
8.5,738.2454051,813.0608271,1008.477742,853.2613249
8.583333333,737.3254723,810.7382215,1005.765369,851.2763542
8.666666667,736.4223816,808.4525668,1003.130646,849.335198
8.75,735.5359492,806.2034432,1000.571004,847.4367989
8.833333333,734.6660515,803.9904637,998.0841173,845.5802108
8.916666667,733.8126073,801.8132642,995.6678465,843.7645727
9,732.9755972,799.6716132,993.3202989,841.9891698
9.083333333,732.1547131,797.5648201,991.0389069,840.2528134
9.166666667,731.3487774,795.4918827,988.8192092,838.5532898
9.25,730.5567618,793.4518333,986.6572051,836.8886001
9.333333333,729.7779097,791.4438736,984.5497407,835.2571747
9.416666667,729.0116541,789.4673048,982.4941698,833.6577096
9.5,728.2576218,787.5215586,980.4884345,832.089205
9.583333333,727.5155687,785.6061477,978.5308451,830.5508538
9.666666667,726.7853515,783.72065,976.6200099,829.0420038
9.75,726.0669025,781.8646932,974.7547638,827.5621199
9.833333333,725.3602082,780.0379419,972.9341091,826.1107531
9.916666667,724.665292,778.2400875,971.15717,824.6875165
Grand Total,826.9595237,923.3318424,1457.222747,1069.171371
