variable,mean,min,max
p1_disc_cost_total,93855308,83192049,105378865
p1_disc_DALY,73257,62486,82818
p1_disc_YLD_total,39874,33340,47951
p1_disc_YLL_total,33382,23398,41050
p1_undisc_cost_total,106895189,94762727,120000625
p1_undisc_DALY,81791,69876,92456
p1_undisc_YLD_total,45510,38040,54716
p1_undisc_YLL_total,36281,25430,44613
p2_disc_cost_total,106449169,95643685,120119548
p2_disc_DALY,53504,46296,59888
p2_disc_YLD_total,31400,26971,36943
p2_disc_YLL_total,22103,15701,27391
p2_undisc_cost_total,121102063,108831010,136631795
p2_undisc_DALY,59397,51497,66507
p2_undisc_YLD_total,35610,30619,41869
p2_undisc_YLL_total,23786,16892,29484
p3_disc_cost_total,105756511,95296425,119338693
p3_disc_DALY,53133,46138,59450
p3_disc_YLD_total,31200,26824,36724
p3_disc_YLL_total,21932,15582,27218
p3_undisc_cost_total,120267461,108408962,135689528
p3_undisc_DALY,58969,51294,66003
p3_undisc_YLD_total,35375,30446,41612
p3_undisc_YLL_total,23593,16759,29291
p2_p1_disc_incremental_cost,12593861,10252516,15376122
p3_p1_disc_incremental_cost,11901203,9586461,14821920
p3_p2_disc_incremental_cost,-692658,-1461863,-162732
p2_p1_disc_incremental_DALY,19753,15878,23840
p3_p1_disc_incremental_DALY,20124,16229,24115
p3_p2_disc_incremental_DALY,371,158,822
p2_p1_undisc_incremental_cost,14206874,11518490,17417183
p3_p1_undisc_incremental_cost,13372272,10713282,16736468
p3_p2_undisc_incremental_cost,-834601,-1745955,-208458
p2_p1_undisc_incremental_DALY,22395,18005,27021
p3_p1_undisc_incremental_DALY,22823,18407,27338
p3_p2_undisc_incremental_DALY,428,182,950
p2_p1_disc_ICER,639,515,838
p3_p1_disc_ICER,593,481,792
p3_p2_disc_ICER,-1868,-2839,-910
p2_p1_undisc_ICER,636,513,830
p3_p1_undisc_ICER,587,478,782
p3_p2_undisc_ICER,-1954,-2929,-1013
