"variable","mean","min","max"
"p1_disc_inc",10481,8150,12548
"p1_undisc_inc",11916,9257,14271
"p2_disc_inc",8050,6015,10503
"p2_undisc_inc",9081,6773,11889
"p3_disc_inc",7330,5687,9221
"p3_undisc_inc",8248,6396,10401
"p2_p1_undisc_incremental_cost",14206874,11518490,17417183
"p3_p1_undisc_incremental_cost",13372272,10713282,16736468
"p3_p2_undisc_incremental_cost",-834601,-1745955,-208458
"p2_p1_disc_incremental_cost",12593861,10252516,15376122
"p3_p1_disc_incremental_cost",11901203,9586461,14821920
"p3_p2_disc_incremental_cost",-692658,-1461863,-162732
"p3_p1_disc_inc",3151,2451,3869
"p2_p1_disc_inc",2431,1855,3185
"p3_p2_disc_inc",720,304,1355
"p3_p1_undisc_inc",3667,2850,4511
"p2_p1_undisc_inc",2835,2167,3715
"p3_p2_undisc_inc",832,349,1575
"p3_p1_disc_inc_per_dollar",3804,2708,5536
"p2_p1_disc_inc_per_dollar",5245,3478,7880
"p3_p2_disc_inc_per_dollar",-948,-1179,-536
"p3_p1_undisc_inc_per_dollar",3673,2602,5363
"p2_p1_undisc_inc_per_dollar",5073,3336,7628
"p3_p2_undisc_inc_per_dollar",-990,-1214,-597
