"program_id","cost_desc","undisc_cost_itemized_mean","undisc_cost_itemized_min","undisc_cost_itemized_max","disc_cost_itemized_mean","disc_cost_itemized_min","disc_cost_itemized_max"
1,"art_cost_p1",43151553,38047923,49619262,37833050,33359775,43516555
1,"ipt_cost",330784,265681,417803,293091,236091,368724
1,"o_care_cost_h2",12152114,10008401,14489622,10707950,8818732,12766160
1,"o_care_cost_h3",9361151,6749092,12225925,8185097,5896642,10697974
1,"o_care_cost_h4",14037252,12377035,16141206,12307137,10851975,14155988
1,"tb_care_cost_r1",18606378,15114516,21824109,16380025,13323968,19187127
1,"tb_care_cost_r2",9255957,6067405,13111296,8148958,5343156,11540622
2,"art_cost_p2",68101041,60395564,78497582,59601072,52855604,68718002
2,"ipt_cost",369333,308707,452181,326536,273330,398415
2,"o_care_cost_h2",6929649,5786761,8242392,6171070,5148616,7342804
2,"o_care_cost_h3",4578639,3254460,6068452,4071728,2892505,5399847
2,"o_care_cost_h4",17794143,15780776,20510659,15573183,13810658,17955349
2,"tb_care_cost_r1",15641353,12505925,19405565,13878990,11107488,17178920
2,"tb_care_cost_r2",7687904,4939479,11278849,6826590,4393836,9979371
3,"art_cost_p3",68137452,60434168,78535157,59631079,52887443,68748885
3,"ipt_cost",582889,480159,750750,524502,433208,670905
3,"o_care_cost_h2",6930118,5786912,8243211,6171441,5148726,7343454
3,"o_care_cost_h3",4581305,3256625,6072405,4073901,2894271,5403071
3,"o_care_cost_h4",17803657,15790863,20520477,15581024,13818977,17963418
3,"tb_care_cost_r1",14686303,12021849,17654873,13066228,10692994,15692742
3,"tb_care_cost_r2",7545737,4889600,10982529,6708337,4352094,9734143
