"variable","mean","min","max"
"p1_disc_mort",1515,1140,1999
"p1_undisc_mort",1724,1296,2274
"p2_disc_mort",1103,821,1549
"p2_undisc_mort",1242,924,1750
"p3_disc_mort",1054,796,1443
"p3_undisc_mort",1185,894,1624
"p2_p1_undisc_incremental_cost",14206874,11518490,17417183
"p3_p1_undisc_incremental_cost",13372272,10713282,16736468
"p3_p2_undisc_incremental_cost",-834601,-1745955,-208458
"p2_p1_disc_incremental_cost",12593861,10252516,15376122
"p3_p1_disc_incremental_cost",11901203,9586461,14821920
"p3_p2_disc_incremental_cost",-692658,-1461863,-162732
"p3_p1_disc_mort",461,306,665
"p2_p1_disc_mort",412,247,631
"p3_p2_disc_mort",48,17,117
"p3_p1_undisc_mort",539,360,776
"p2_p1_undisc_mort",482,291,736
"p3_p2_undisc_mort",57,20,138
"p3_p1_disc_mort_per_dollar",26242,16832,39872
"p2_p1_disc_mort_per_dollar",31155,18833,52008
"p3_p2_disc_mort_per_dollar",-14539,-25742,-7243
"p3_p1_undisc_mort_per_dollar",25216,16103,38056
"p2_p1_undisc_mort_per_dollar",30085,18005,49814
"p3_p2_undisc_mort_per_dollar",-14873,-26020,-7740
