variable,mean,min,max,
p1_disc_cost_total,87147880.2,79453761.22,100075423.3,"87.1 [79.5, 100.1]"
p1_disc_DALY,73441.96937,63070.59135,82482.75471,"73.4 [63.1, 82.5]"
p1_disc_inc,11160.46229,9241.231052,12894.72272,"11.2 [9.2, 12.9]"
p1_disc_mort,1581.342902,1193.047002,2027.950401,"1.6 [1.2, 2]"
p1_undisc_cost_total,99343694.97,90580324.06,114069308.7,"99.3 [90.6, 114.1]"
p1_undisc_DALY,81992,70538,92208,"82 [70.5, 92.2]"
p1_undisc_inc,12707,10522,14688,"12.7 [10.5, 14.7]"
p1_undisc_mort,1801,1358,2311,"1.8 [1.4, 2.3]"
p2_disc_cost_total,103702220.9,94276528.49,118941025.3,"103.7 [94.3, 118.9]"
p2_disc_DALY,53752.24278,47111.11903,60468.0594,"53.8 [47.1, 60.5]"
p2_disc_inc,8839.860022,7187.77346,10708.13673,"8.8 [7.2, 10.7]"
p2_disc_mort,1167.187269,872.4758157,1529.753058,"1.2 [0.9, 1.5]"
p2_undisc_cost_total,118191375.1,107448140.5,135534696.1,"118.2 [107.4, 135.5]"
p2_undisc_DALY,59677.18645,52394.04506,67165.3751,"59.7 [52.4, 67.2]"
p2_undisc_inc,10003.61768,8124.027973,12139.09193,"10 [8.1, 12.1]"
p2_undisc_mort,1317.388758,983.2490401,1732.499549,"1.3 [1, 1.7]"
p3_disc_cost_total,103874902.6,94415772.67,119163256.8,"103.9 [94.4, 119.2]"
p3_disc_DALY,53609.30138,46956.00134,60248.65227,"53.6 [47, 60.2]"
p3_disc_inc,8568.191477,7117.604889,10258.87738,"8.6 [7.1, 10.3]"
p3_disc_mort,1149.303022,866.1513032,1474.048123,"1.1 [0.9, 1.5]"
p3_undisc_cost_total,118376841.6,107596449.8,135775514.9,"118.4 [107.6, 135.8]"
p3_undisc_DALY,59513.58404,52215.681,66913.04817,"59.5 [52.2, 66.9]"
p3_undisc_inc,9691.851762,8052.164174,11619.47226,"9.7 [8.1, 11.6]"
p3_undisc_mort,1296.45658,976.1986559,1666.446761,"1.3 [1, 1.7]"
p2_p1_disc_incremental_cost,16554340.67,14780444.81,18865602.02,"16.6 [14.8, 18.9]"
p3_p1_disc_incremental_cost,16727022.42,14919688.98,19087833.55,"16.7 [14.9, 19.1]"
p3_p2_disc_incremental_cost,172681.7486,69194.74638,250747.754,
p2_p1_disc_incremental_DALY,19689.72659,15898.30834,23798.13157,"19.7 [15.9, 23.8]"
p3_p1_disc_incremental_DALY,19832.66799,15977.07045,24039.23993,"19.8 [16, 24]"
p3_p2_disc_incremental_DALY,142.9414059,10.60808776,432.3270152,
p2_p1_undisc_incremental_cost,18847680.12,16815464.43,21465387.39,"18.8 [16.8, 21.5]"
p3_p1_undisc_incremental_cost,19033146.65,16963773.78,21706206.17,"19 [17, 21.7]"
p3_p2_undisc_incremental_cost,185466.5273,65722.95799,274147.8969,
p2_p1_undisc_incremental_DALY,22314.4421,18072.75948,27024.42985,"22.3 [18.1, 27]"
p3_p1_undisc_incremental_DALY,22478.04452,18161.6429,27300.95166,"22.5 [18.2, 27.3]"
p3_p2_undisc_incremental_DALY,163.602415,10.9342962,500.1068963,
p2_p1_disc_ICER,843.3708746,705.6307244,1016.650436,
p3_p1_disc_ICER,845.9577509,708.9094618,1012.415208,
p3_p2_disc_ICER,1967.351113,243.7549396,20281.64758,
p2_p1_undisc_ICER,847.2379196,712.3964398,1018.478617,
p3_p1_undisc_ICER,849.2783968,715.2348268,1015.689496,
p3_p2_undisc_ICER,1899.508859,202.1032862,21366.62941,
p3_p1_disc_inc,2592.270809,1983.752946,3218.723413,"2.6 [2, 3.2]"
p2_p1_disc_inc,2320.602264,1830.687556,2959.358431,"2.3 [1.8, 3]"
p3_p2_disc_inc,271.6685449,16.58065227,753.8026308,
p3_p1_undisc_inc,3015.077031,2307.624532,3748.191144,"3 [2.3, 3.7]"
p2_p1_undisc_inc,2703.311115,2134.165217,3451.735345,"2.7 [2.1, 3.5]"
p3_p2_undisc_inc,311.7659165,16.01223018,873.3181673,
p3_p1_disc_inc_per_dollar,6498.376276,4822.735221,9303.819706,
p2_p1_disc_inc_per_dollar,7192.148996,5161.085066,10010.24738,
p3_p2_disc_inc_per_dollar,1109.176069,106.6261233,13011.61786,
p3_p1_undisc_inc_per_dollar,6357.852908,4712.228398,9101.768615,
p2_p1_undisc_inc_per_dollar,7029.142815,5038.943328,9778.579084,
p3_p2_undisc_inc_per_dollar,1082.817154,87.50338963,14675.20688,
p3_p1_disc_mort,432.0398804,300.3150719,613.0130937,"0.4 [0.3, 0.6]"
p2_p1_disc_mort,414.1556325,276.0946351,595.7467108,"0.4 [0.3, 0.6]"
p3_p2_disc_mort,17.88424785,0.42990981,59.11185771,
p3_p1_undisc_mort,504.5434047,351.9757213,715.5555886,"0.5 [0.4, 0.7]"
p2_p1_undisc_mort,483.6112265,323.6936791,695.3910332,"0.5 [0.3, 0.7]"
p3_p2_undisc_mort,20.93217821,0.319582361,69.91430461,
p3_p1_disc_mort_per_dollar,39372.99687,25605.52788,57020.47066,
p2_p1_disc_mort_per_dollar,40692.28952,26115.95037,62156.89729,
p3_p2_disc_mort_per_dollar,19737.12299,1782.753064,470596.5657,
p3_p1_undisc_mort_per_dollar,38358.05072,24940.20529,55379.2707,
p2_p1_undisc_mort_per_dollar,39668.62006,25453.12399,60371.0257,
p3_p2_undisc_mort_per_dollar,19816.84848,1537.32204,688687.8726,
