"variable","mean","min","max"
"p1_disc_cost_total",108887210.722869,98326393.9849429,122273747.373974
"p1_disc_DALY",73465.8884000318,63070.5913461096,82482.7547066031
"p1_disc_inc",11155.0967082593,9241.23105160362,12894.7227220029
"p1_disc_mort",1581.1055008778,1193.04700170958,2027.95040107345
"p1_undisc_cost_total",124071505.684001,112045044.388715,139322202.771167
"p1_undisc_DALY",82017.9849813859,70538.2580629781,92208.021906723
"p1_undisc_inc",12700.9062985416,10521.7134655555,14687.7104269173
"p1_undisc_mort",1800.7384643141,1358.03050644917,2310.58857442574
"p2_disc_cost_total",122297010.490202,111722171.091648,137369348.512436
"p2_disc_DALY",53769.720193507,47111.119034339,60468.0594027764
"p2_disc_inc",8835.46470878241,7187.77346033317,10708.1367301112
"p2_disc_mort",1167.32576481028,872.47581574362,1529.75305800636
"p2_undisc_cost_total",139191725.350165,127193140.965544,156338611.735122
"p2_undisc_DALY",59696.5221140258,52394.0450578077,67165.3751028688
"p2_undisc_inc",9998.77516969836,8124.02797318351,12139.0919322763
"p2_undisc_mort",1317.56494626755,983.24904008424,1732.49954930182
"p3_disc_cost_total",122187532.37942,111697364.228021,137385739.466039
"p3_disc_DALY",53628.6352348868,46956.0013433053,60248.6522658047
"p3_disc_inc",8567.43336197002,7117.60488911809,10258.8773762797
"p3_disc_mort",1149.69076086004,866.151303180498,1474.04812279535
"p3_undisc_cost_total",139047106.845385,127147574.999754,156338104.762687
"p3_undisc_DALY",59535.0674319291,52215.6810012202,66913.0481658028
"p3_undisc_inc",9691.22359011393,8052.16417368668,11619.4722638193
"p3_undisc_mort",1296.92749785247,976.19865586898,1666.44676110696
"p2_p1_disc_incremental_cost",13409799.7673329,10969159.5699806,15996978.0540612
"p3_p1_disc_incremental_cost",13300321.6565508,10754661.3072895,15974552.8387913
"p3_p2_disc_incremental_cost",-109478.110782109,-723975.216376036,262946.84953554
"p2_p1_disc_incremental_DALY",19696.1682065248,15898.3083414952,23798.1315713796
"p3_p1_disc_incremental_DALY",19837.253165145,15977.0704485032,24039.239933796
"p3_p2_disc_incremental_DALY",141.084958620235,3.62099765433231,432.327015243573
"p2_p1_undisc_incremental_cost",15120219.6661638,12297493.9203918,18091421.2475248
"p3_p1_undisc_incremental_cost",14975601.1613837,12030414.5002229,18022534.8053788
"p3_p2_undisc_incremental_cost",-144618.504780102,-871258.95648858,296754.525441766
"p2_p1_undisc_incremental_DALY",22321.4628673601,18072.7594807898,27024.4298548553
"p3_p1_undisc_incremental_DALY",22482.9175494568,18161.6429011722,27300.9516562351
"p3_p2_undisc_incremental_DALY",161.454682096716,3.0604376757401,500.106896258345
"p2_p1_disc_ICER",682.730374878231,548.757865532051,847.476186948945
"p3_p1_disc_ICER",672.227789589156,537.493191557693,843.214543250087
"p3_p2_disc_ICER",402.585918280244,-2425.69110627292,59820.4925687201
"p2_p1_undisc_ICER",679.247004657666,546.904207964483,848.585843608971
"p3_p1_undisc_ICER",667.804210618741,534.663669616964,839.385563244578
"p3_p2_undisc_ICER",379.540918244033,-2520.45213185645,77493.0140131958
"p3_p1_disc_inc",2587.6633462893,1983.75294592196,3218.72341252259
"p2_p1_disc_inc",2319.63199947691,1830.68755584204,2959.3584313541
"p3_p2_disc_inc",268.031346812392,3.34866504462298,753.802630750944
"p3_p1_undisc_inc",3009.68270842769,2307.62453212677,3748.19114389376
"p2_p1_undisc_inc",2702.13112884326,2134.16521669932,3451.7353454945
"p3_p2_undisc_inc",307.551579584429,0.870189761673828,873.318167256501
"p3_p1_disc_inc_per_dollar",5186.58310112014,3472.02375328796,8033.80715325609
"p2_p1_disc_inc_per_dollar",5839.32033155491,3818.99400177833,8731.73904871723
"p3_p2_disc_inc_per_dollar",568.400923615111,-1050.83559731833,76513.7977219948
"p3_p1_undisc_inc_per_dollar",5021.89998928857,3331.16826900831,7801.14454408399
"p2_p1_undisc_inc_per_dollar",5652.52069700936,3672.92101667754,8477.04812446751
"p3_p2_undisc_inc_per_dollar",1209.80457060728,-1091.26431873189,328028.951319973
"p3_p1_disc_mort",431.414740017759,298.889243193945,613.013093686738
"p2_p1_disc_mort",413.77973606752,276.094635131087,595.746710793851
"p3_p2_disc_mort",17.6350039502387,-0.565138050612404,59.1118577134607
"p3_p1_undisc_mort",503.810966461624,349.64258459659,715.555588648059
"p2_p1_undisc_mort",483.173518046549,323.69367905287,695.39103316929
"p3_p2_undisc_mort",20.6374484150755,-0.814524411390266,69.9143046143899
"p3_p1_disc_mort_per_dollar",31352.0090964641,19780.375615479,46011.0345357943
"p2_p1_disc_mort_per_dollar",32983.3185013361,20669.4994999251,51361.93956886
"p3_p2_disc_mort_per_dollar",-30836.2492695371,-19504438.6528638,6148649.07803131
"p3_p1_undisc_mort_per_dollar",30225.7380527553,18995.6925657523,44393.6729120209
"p2_p1_undisc_mort_per_dollar",31844.6298977362,19883.0823990267,49491.9646305615
"p3_p2_undisc_mort_per_dollar",-17957.0337220708,-12130901.2524136,655204.78703131
