"sim_id","program_id","undisc_inc","disc_inc"
10051,1,12602.2089888334,11060.8968313954
10051,2,10441.4231227925,9204.42527006981
10051,3,10128.0585689555,8931.69626645828
10160,1,12349.1930809848,10842.5381452458
10160,2,9532.5029041843,8428.97883383743
10160,3,9172.18309565604,8114.35560007536
10289,1,12801.6327787229,11246.2806103203
10289,2,9942.89486213448,8788.75827555979
10289,3,9777.42611177539,8644.54599300272
10342,1,12156.4724708744,10668.8854242241
10342,2,9477.58836099408,8367.5120221681
10342,3,9386.26913470647,8286.18228458445
10463,1,13048.1392527407,11450.9296237002
10463,2,10120.9832999441,8939.23374161434
10463,3,9777.59825541886,8638.86904523955
10508,1,11936.7531243689,10483.3668448811
10508,2,9353.96776347661,8260.4497409135
10508,3,9326.69952843219,8235.13301094249
10537,1,12115.5145705562,10644.197762424
10537,2,9646.52746013822,8522.68247994741
10537,3,9445.51757447131,8347.61852091961
10610,1,12725.1221252663,11180.741815965
10610,2,9924.93552607488,8777.13750632244
10610,3,9598.63268416164,8490.74655255271
10791,1,13147.2795634984,11541.1920232671
10791,2,10615.7839005472,9367.91287278923
10791,3,10412.6041433624,9190.25824956056
108,1,13265.6348262999,11652.7678138205
108,2,10269.8732743074,9080.26366133163
108,3,10110.2064108689,8938.50271351261
1089,1,11930.4505131488,10477.8407160792
1089,2,9488.42874673897,8380.85888226553
1089,3,9169.40570707625,8102.14928019426
11012,1,13064.3761828409,11478.2529144164
11012,2,10210.1908923831,9028.67226045879
11012,3,9942.15315380547,8792.58958306345
11093,1,13028.9017390202,11455.0247498444
11093,2,9926.38766509521,8786.62430450922
11093,3,9748.71859359336,8629.96191459488
11099,1,12107.0344091034,10626.0478181478
11099,2,9408.68863347336,8307.97009724593
11099,3,9177.67390676459,8106.95040623614
1116,1,13452.8328734368,11811.5326136092
1116,2,11189.0800849368,9868.59786038043
1116,3,10783.3008457143,9515.34574302928
11232,1,13463.8104547065,11818.925087086
11232,2,10331.2464649932,9133.43608807387
11232,3,9988.03854024409,8833.98286480111
1134,1,12965.3850488979,11385.4912862508
1134,2,10321.5950199887,9115.53301562053
1134,3,10110.7240459189,8931.51584660111
11370,1,12222.3844387872,10730.6040427221
11370,2,9697.93008313276,8558.02551242898
11370,3,9663.9007427134,8526.06281523398
11449,1,12458.5665068907,10934.3981294619
11449,2,9878.33314575999,8721.55678125729
11449,3,9637.65693114583,8509.69249208718
11480,1,12798.3372410265,11237.6825642449
11480,2,10069.8419790624,8901.19638002515
11480,3,9651.17421128064,8536.69020359406
11560,1,13383.3435800354,11755.9381782948
11560,2,10664.6415786933,9418.82755229369
11560,3,10416.0221753588,9201.83821303429
11599,1,12225.2941563073,10740.82230189
11599,2,9421.88786608715,8333.66966074422
11599,3,9207.09237661338,8145.39949887553
11615,1,12467.7498133321,10941.7793880197
11615,2,9779.33242448414,8636.75659208371
11615,3,9595.6664209983,8473.8370572804
11670,1,12205.4132802113,10713.0438955097
11670,2,9721.25259458416,8578.35568222802
11670,3,9471.58418644792,8360.55837945588
11672,1,12581.5999296398,11056.0635764463
11672,2,10025.9841686631,8863.03519154524
11672,3,9771.49156676047,8639.1384800798
11691,1,13028.519879621,11445.9640800554
11691,2,10171.3499265767,9000.4996499279
11691,3,9586.20257551617,8491.4839014282
11716,1,12867.9095504828,11300.6579787962
11716,2,10095.3216405908,8919.46597463741
11716,3,9921.6519325012,8767.64012156834
11810,1,13724.6044021025,12048.7227557454
11810,2,11166.8834658369,9857.13979096028
11810,3,10633.2337603146,9393.30002852742
11956,1,12414.189549008,10909.431707496
11956,2,9650.45236043433,8531.03636090267
11956,3,9534.54059511503,8427.8335388749
11964,1,12146.2929079182,10667.3931800756
11964,2,9824.61788962692,8676.65562302192
11964,3,9527.9098096716,8415.79632728003
11986,1,12228.5070948879,10744.0673282265
11986,2,9397.08402050417,8314.53499767756
11986,3,8993.77082665055,7965.16701939642
12139,1,13216.763731991,11606.2603920762
12139,2,10772.255082134,9507.48523004839
12139,3,10396.7082547847,9179.82722755724
12569,1,12612.6986358364,11095.6905398987
12569,2,9823.3045519081,8702.41072343937
12569,3,9373.71749960916,8310.54706777726
12803,1,12188.5992712635,10704.8897257101
12803,2,9248.73111238497,8177.91069069339
12803,3,9093.12793956772,8041.58357568183
12825,1,13337.6222631194,11711.0018642212
12825,2,10620.851582325,9379.69511553256
12825,3,10485.1451245106,9258.88252452337
12849,1,13066.0459480403,11472.3691164525
12849,2,10409.5876069578,9189.59780015053
12849,3,10147.5995179335,8960.40691375681
12981,1,13490.392588689,11852.9813720804
12981,2,10748.8529919638,9503.80459948698
12981,3,10302.0402406536,9111.7029406999
13073,1,11686.0539480823,10255.2733355245
13073,2,9096.46068181596,8032.59575068527
13073,3,9000.62248456248,7948.41872684827
1308,1,13464.7659055044,11822.7008379807
1308,2,10882.369793366,9605.06233073907
1308,3,10532.2101930549,9300.81774137413
13295,1,12020.8847473984,10572.2225983338
13295,2,9289.64566466461,8228.05919548042
13295,3,8929.37449678477,7914.25717903741
13492,1,13848.5142642434,12153.6710906654
13492,2,10945.940375373,9663.97013575451
13492,3,10584.2405967622,9350.63112355607
13500,1,13497.9405270572,11859.1018736949
13500,2,10851.9048074362,9587.93179500531
13500,3,10332.8045269618,9138.71608812981
13611,1,14123.7449582283,12395.7390003783
13611,2,11401.9248085288,10063.8878181536
13611,3,10802.9202240599,9545.05194315117
13645,1,12543.5937450695,11014.5324836695
13645,2,9668.82146707612,8549.2513023199
13645,3,9467.5042579554,8372.38687667221
13702,1,11825.2285931018,10388.0712134759
13702,2,9375.29019179656,8288.760782679
13702,3,8896.01607497992,7873.95082090293
13732,1,12670.7643407762,11134.813212447
13732,2,9683.42351314474,8568.90311840012
13732,3,9617.73401178383,8508.49733836338
1375,1,11973.5609065242,10519.8023896644
1375,2,9205.7943850273,8140.09241827979
1375,3,9062.34110030691,8012.99835140158
13868,1,11451.6725764056,10053.6025437799
13868,2,9060.72774510487,7997.81481907957
13868,3,8854.3363509248,7817.58284750678
13953,1,13325.1458773185,11707.0481796353
13953,2,10862.5146011097,9595.6029423903
13953,3,10172.1439802568,8999.98649243241
13989,1,12475.2277808963,10960.3830709896
13989,2,9932.24730671094,8776.96622369596
13989,3,9421.23736358143,8335.393642764
14017,1,12445.0901119828,10928.8272186895
14017,2,9865.38174166598,8709.98982404417
14017,3,9736.94544793203,8596.30549990943
14037,1,12912.2246195003,11339.8920622029
14037,2,10114.6729676269,8935.10326574846
14037,3,9935.27422700602,8777.4651650355
14082,1,13773.4219840516,12097.8131652071
14082,2,10952.7851211816,9678.59738463745
14082,3,10507.337530664,9291.63687384294
14268,1,12168.978858068,10684.3682399302
14268,2,9699.63333835772,8564.16876256909
14268,3,9440.9755910777,8338.54149444047
14300,1,13669.2410798458,12001.4045375339
14300,2,10777.8406482431,9524.54113741457
14300,3,10254.1192558523,9070.18762065055
14471,1,11223.0426453098,9859.34553951074
14471,2,8836.4276608041,7807.90866181618
14471,3,8611.35037614679,7613.0286231517
