"variable","mean","min","max","program_id"
"Tb_inc__female_Y_per_100k_female",1259,955,1519,1
"Tb_inc__male_Y_per_100k_male",1073,839,1309,1
"Tb_mort__female_Y_per_100k_female",125,88,177,1
"Tb_mort__male_Y_per_100k_male",230,160,305,1
"Tb_inc__female_Y_per_100k_female",889,647,1196,2
"Tb_inc__male_Y_per_100k_male",707,522,993,2
"Tb_mort__female_Y_per_100k_female",86,58,131,2
"Tb_mort__male_Y_per_100k_male",136,90,208,2
"Tb_inc__female_Y_per_100k_female",781,601,994,3
"Tb_inc__male_Y_per_100k_male",631,491,842,3
"Tb_mort__female_Y_per_100k_female",80,54,116,3
"Tb_mort__male_Y_per_100k_male",126,84,180,3
