"variable","mean","min","max","program_id"
"Tb_inc_neg_female_Y_per_100k_female",316,247,438,1
"Tb_inc_pos_female_Y_per_100k_female",944,701,1135,1
"Tb_inc_neg_male_Y_per_100k_male",402,306,537,1
"Tb_inc_pos_male_Y_per_100k_male",671,503,804,1
"Tb_mort_neg_female_Y_per_100k_female",21,14,29,1
"Tb_mort_pos_female_Y_per_100k_female",104,74,152,1
"Tb_mort_neg_male_Y_per_100k_male",62,46,83,1
"Tb_mort_pos_male_Y_per_100k_male",168,112,238,1
"Tb_inc_neg_female_Y_per_100k_female",286,213,420,2
"Tb_inc_pos_female_Y_per_100k_female",603,426,822,2
"Tb_inc_neg_male_Y_per_100k_male",351,258,496,2
"Tb_inc_pos_male_Y_per_100k_male",356,255,497,2
"Tb_mort_neg_female_Y_per_100k_female",20,12,29,2
"Tb_mort_pos_female_Y_per_100k_female",66,45,106,2
"Tb_mort_neg_male_Y_per_100k_male",55,39,80,2
"Tb_mort_pos_male_Y_per_100k_male",81,48,128,2
"Tb_inc_neg_female_Y_per_100k_female",272,204,388,3
"Tb_inc_pos_female_Y_per_100k_female",509,377,631,3
"Tb_inc_neg_male_Y_per_100k_male",333,251,462,3
"Tb_inc_pos_male_Y_per_100k_male",298,226,383,3
"Tb_mort_neg_female_Y_per_100k_female",19,12,27,3
"Tb_mort_pos_female_Y_per_100k_female",60,42,93,3
"Tb_mort_neg_male_Y_per_100k_male",53,38,75,3
"Tb_mort_pos_male_Y_per_100k_male",73,45,106,3
