"TB_compartment","DR_compartment","HIV_compartment","G_compartment","tb_adj","dr_adj","hiv_adj","g_adj","total_adj","prop_of_pop"
1,1,1,1,0.5,1,0.97,0.487351212642743,0.236365338131731,0.236365338131731
1,1,1,2,0.5,1,0.962,0.512648787357257,0.24658406671884,0.24658406671884
1,1,2,1,0.5,1,0.03,0.487351212642743,0.00731026818964115,0.00731026818964115
1,1,2,2,0.5,1,0.038,0.512648787357257,0.00974032695978787,0.00974032695978788
1,1,3,1,0.5,1,0,0.487351212642743,0,0
1,1,3,2,0.5,1,0,0.512648787357257,0,0
1,1,4,1,0.5,1,0,0.487351212642743,0,0
1,1,4,2,0.5,1,0,0.512648787357257,0,0
1,2,1,1,0.5,0,0.97,0.487351212642743,0,0
1,2,1,2,0.5,0,0.962,0.512648787357257,0,0
1,2,2,1,0.5,0,0.03,0.487351212642743,0,0
1,2,2,2,0.5,0,0.038,0.512648787357257,0,0
1,2,3,1,0.5,0,0,0.487351212642743,0,0
1,2,3,2,0.5,0,0,0.512648787357257,0,0
1,2,4,1,0.5,0,0,0.487351212642743,0,0
1,2,4,2,0.5,0,0,0.512648787357257,0,0
2,1,1,1,0,0.963,0.97,0.487351212642743,0,0
2,1,1,2,0,0.963,0.962,0.512648787357257,0,0
2,1,2,1,0,0.963,0.03,0.487351212642743,0,0
2,1,2,2,0,0.963,0.038,0.512648787357257,0,0
2,1,3,1,0,0.963,0,0.487351212642743,0,0
2,1,3,2,0,0.963,0,0.512648787357257,0,0
2,1,4,1,0,0.963,0,0.487351212642743,0,0
2,1,4,2,0,0.963,0,0.512648787357257,0,0
2,2,1,1,0,0.037,0.97,0.487351212642743,0,0
2,2,1,2,0,0.037,0.962,0.512648787357257,0,0
2,2,2,1,0,0.037,0.03,0.487351212642743,0,0
2,2,2,2,0,0.037,0.038,0.512648787357257,0,0
2,2,3,1,0,0.037,0,0.487351212642743,0,0
2,2,3,2,0,0.037,0,0.512648787357257,0,0
2,2,4,1,0,0.037,0,0.487351212642743,0,0
2,2,4,2,0,0.037,0,0.512648787357257,0,0
3,1,1,1,0.02401,0.963,0.97,0.487351212642743,0.0109303037862135,0.0109303037862135
3,1,1,2,0.02401,0.963,0.962,0.512648787357257,0.0114028511091367,0.0114028511091367
3,1,2,1,0.02401,0.963,0.03,0.487351212642743,0.000338050632563305,0.000338050632563305
3,1,2,2,0.02401,0.963,0.038,0.512648787357257,0.00045042447208648,0.00045042447208648
3,1,3,1,0.02401,0.963,0,0.487351212642743,0,0
3,1,3,2,0.02401,0.963,0,0.512648787357257,0,0
3,1,4,1,0.02401,0.963,0,0.487351212642743,0,0
3,1,4,2,0.02401,0.963,0,0.512648787357257,0,0
3,2,1,1,0.02401,0.037,0.97,0.487351212642743,0.000419959750872171,0.000419959750872171
3,2,1,2,0.02401,0.037,0.962,0.512648787357257,0.000438115774702032,0.000438115774702033
3,2,2,1,0.02401,0.037,0.03,0.487351212642743,1.2988445903263e-05,1.2988445903263e-05
3,2,2,2,0.02401,0.037,0.038,0.512648787357257,1.73060285225335e-05,1.73060285225335e-05
3,2,3,1,0.02401,0.037,0,0.487351212642743,0,0
3,2,3,2,0.02401,0.037,0,0.512648787357257,0,0
3,2,4,1,0.02401,0.037,0,0.487351212642743,0,0
3,2,4,2,0.02401,0.037,0,0.512648787357257,0,0
4,1,1,1,0.46599,0.963,0.97,0.487351212642743,0.212137120422226,0.212137120422226
4,1,1,2,0.46599,0.963,0.962,0.512648787357257,0.221308396016102,0.221308396016102
4,1,2,1,0.46599,0.963,0.03,0.487351212642743,0.00656094186872863,0.00656094186872863
4,1,2,2,0.46599,0.963,0.038,0.512648787357257,0.00874191169294373,0.00874191169294373
4,1,3,1,0.46599,0.963,0,0.487351212642743,0,0
4,1,3,2,0.46599,0.963,0,0.512648787357257,0,0
4,1,4,1,0.46599,0.963,0,0.487351212642743,0,0
4,1,4,2,0.46599,0.963,0,0.512648787357257,0,0
4,2,1,1,0.46599,0.037,0.97,0.487351212642743,0.00815064740978438,0.00815064740978438
4,2,1,2,0.46599,0.037,0.962,0.512648787357257,0.00850302248452312,0.00850302248452312
4,2,2,1,0.46599,0.037,0.03,0.487351212642743,0.000252081878653125,0.000252081878653125
4,2,2,2,0.46599,0.037,0.038,0.512648787357257,0.000335878227039375,0.000335878227039375
4,2,3,1,0.46599,0.037,0,0.487351212642743,0,0
4,2,3,2,0.46599,0.037,0,0.512648787357257,0,0
4,2,4,1,0.46599,0.037,0,0.487351212642743,0,0
4,2,4,2,0.46599,0.037,0,0.512648787357257,0,0
5,1,1,1,0,0.963,0.97,0.487351212642743,0,0
5,1,1,2,0,0.963,0.962,0.512648787357257,0,0
5,1,2,1,0,0.963,0.03,0.487351212642743,0,0
5,1,2,2,0,0.963,0.038,0.512648787357257,0,0
5,1,3,1,0,0.963,0,0.487351212642743,0,0
5,1,3,2,0,0.963,0,0.512648787357257,0,0
5,1,4,1,0,0.963,0,0.487351212642743,0,0
5,1,4,2,0,0.963,0,0.512648787357257,0,0
5,2,1,1,0,0.037,0.97,0.487351212642743,0,0
5,2,1,2,0,0.037,0.962,0.512648787357257,0,0
5,2,2,1,0,0.037,0.03,0.487351212642743,0,0
5,2,2,2,0,0.037,0.038,0.512648787357257,0,0
5,2,3,1,0,0.037,0,0.487351212642743,0,0
5,2,3,2,0,0.037,0,0.512648787357257,0,0
5,2,4,1,0,0.037,0,0.487351212642743,0,0
5,2,4,2,0,0.037,0,0.512648787357257,0,0
6,1,1,1,0.01,0.963,0.97,0.487351212642743,0.00455239641241713,0.00455239641241713
6,1,1,2,0.01,0.963,0.962,0.512648787357257,0.00474920912500487,0.00474920912500487
6,1,2,1,0.01,0.963,0.03,0.487351212642743,0.000140795765332489,0.000140795765332489
6,1,2,2,0.01,0.963,0.038,0.512648787357257,0.000187598697245514,0.000187598697245515
6,1,3,1,0.01,0.963,0,0.487351212642743,0,0
6,1,3,2,0.01,0.963,0,0.512648787357257,0,0
6,1,4,1,0.01,0.963,0,0.487351212642743,0,0
6,1,4,2,0.01,0.963,0,0.512648787357257,0,0
6,2,1,1,0.01,0.037,0.97,0.487351212642743,0.000174910350217481,0.000174910350217481
6,2,1,2,0.01,0.037,0.962,0.512648787357257,0.000182472209371942,0.000182472209371942
6,2,2,1,0.01,0.037,0.03,0.487351212642743,5.40959846033445e-06,5.40959846033445e-06
6,2,2,2,0.01,0.037,0.038,0.512648787357257,7.20784195024303e-06,7.20784195024303e-06
6,2,3,1,0.01,0.037,0,0.487351212642743,0,0
6,2,3,2,0.01,0.037,0,0.512648787357257,0,0
6,2,4,1,0.01,0.037,0,0.487351212642743,0,0
6,2,4,2,0.01,0.037,0,0.512648787357257,0,0
7,1,1,1,0,0.963,0.97,0.487351212642743,0,0
7,1,1,2,0,0.963,0.962,0.512648787357257,0,0
7,1,2,1,0,0.963,0.03,0.487351212642743,0,0
7,1,2,2,0,0.963,0.038,0.512648787357257,0,0
7,1,3,1,0,0.963,0,0.487351212642743,0,0
7,1,3,2,0,0.963,0,0.512648787357257,0,0
7,1,4,1,0,0.963,0,0.487351212642743,0,0
7,1,4,2,0,0.963,0,0.512648787357257,0,0
7,2,1,1,0,0.037,0.97,0.487351212642743,0,0
7,2,1,2,0,0.037,0.962,0.512648787357257,0,0
7,2,2,1,0,0.037,0.03,0.487351212642743,0,0
7,2,2,2,0,0.037,0.038,0.512648787357257,0,0
7,2,3,1,0,0.037,0,0.487351212642743,0,0
7,2,3,2,0,0.037,0,0.512648787357257,0,0
7,2,4,1,0,0.037,0,0.487351212642743,0,0
7,2,4,2,0,0.037,0,0.512648787357257,0,0
8,1,1,1,0,0.963,0.97,0.487351212642743,0,0
8,1,1,2,0,0.963,0.962,0.512648787357257,0,0
8,1,2,1,0,0.963,0.03,0.487351212642743,0,0
8,1,2,2,0,0.963,0.038,0.512648787357257,0,0
8,1,3,1,0,0.963,0,0.487351212642743,0,0
8,1,3,2,0,0.963,0,0.512648787357257,0,0
8,1,4,1,0,0.963,0,0.487351212642743,0,0
8,1,4,2,0,0.963,0,0.512648787357257,0,0
8,2,1,1,0,0.037,0.97,0.487351212642743,0,0
8,2,1,2,0,0.037,0.962,0.512648787357257,0,0
8,2,2,1,0,0.037,0.03,0.487351212642743,0,0
8,2,2,2,0,0.037,0.038,0.512648787357257,0,0
8,2,3,1,0,0.037,0,0.487351212642743,0,0
8,2,3,2,0,0.037,0,0.512648787357257,0,0
8,2,4,1,0,0.037,0,0.487351212642743,0,0
8,2,4,2,0,0.037,0,0.512648787357257,0,0
