"","year","gender","year_gender","hiv_incidence","PLHIV_2b_CD4_350_more","PLHIV_2a_CD4_350_less","PLHIV_2_CD4_200_more","PLHIV_3_CD4_200_less","art_coverage","hiv_prevalence","n1_prop","n2_prop","n3_prop","n4_prop","n2_prop_eligible","eta_24","eta_34"
"1",1980,"Males","1980_Males",0.000397387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2",1981,"Males","1981_Males",0.000715297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3",1982,"Males","1982_Males",0.001080894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"4",1983,"Males","1983_Males",0.001227132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5",1984,"Males","1984_Males",0.001607035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"6",1985,"Males","1985_Males",0.003593971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"7",1986,"Males","1986_Males",0.005580908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"8",1987,"Males","1987_Males",0.007567845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"9",1988,"Males","1988_Males",0.009554782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"10",1989,"Males","1989_Males",0.011939106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"11",1990,"Males","1990_Males",0.021856305771581,0.661131178927022,0.253683199850202,0.914814378777224,0.0851856212227762,0,0.0586815186653847,0.941318481334615,0.053682697043578,0.00499882162180673,0,0,0,0
"12",1991,"Males","1991_Males",0.0252377447615585,0.642562234373116,0.264944741047551,0.907506975420667,0.0924930245793327,0,0.0740613135442967,0.925938686455703,0.0672111586502664,0.0068501548940303,0,0,0,0
"13",1992,"Males","1992_Males",0.028432070602161,0.622667738952797,0.276309674758928,0.898977413711725,0.101022586288276,0,0.0906398068305627,0.909360193169437,0.0814831391238696,0.00915666770669319,0,0,0,0
"14",1993,"Males","1993_Males",0.0313938608952974,0.602436231216196,0.287186618364244,0.88962284958044,0.110377150419561,0,0.107946763865782,0.892053236134218,0.0960319076732639,0.0119148561925183,0,0,0,0
"15",1994,"Males","1994_Males",0.0340980638738387,0.582562081872307,0.297227668011584,0.879789749883891,0.12021025011611,0,0.125531973527755,0.874468026472245,0.110441743592415,0.0150902299353403,0,0,0,0
"16",1995,"Males","1995_Males",0.0356864720837027,0.563500811112966,0.30626304693543,0.869763858048396,0.130236141951604,0,0.14299324336348,0.85700675663652,0.124370355022674,0.0186228883408064,0,0,0,0
"17",1996,"Males","1996_Males",0.0355378653506804,0.542944272570367,0.315978829645889,0.858923102216256,0.141076897783743,0,0.159006581634909,0.840993418365091,0.136574426370658,0.0224321552642504,0,0,0,0
"18",1997,"Males","1997_Males",0.0349064713125083,0.520662517400272,0.326279045092548,0.84694156249282,0.15305843750718,0,0.172507804959143,0.827492195040857,0.146104029874303,0.0264037750848398,0,0,0,0
