"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"1",1,14496.4822539009,67646.9548237375,524498.277728186,210667.393723857,817309.108529681,168789343.514803,30680551.9364576,199469895.451261,0.0352142494740103,0.0221305658937719,6,6,8,35,1.2,14,22,40,17
"2",2,14214.2565328189,66179.7972976841,486826.43413491,201364.66287423,768585.150839642,169534983.089985,30092210.2231165,199627193.313101,0.035264455074556,0.0218862297369559,6,6,8,35,1.2,14,22,40,20
"3",3,14489.2090494886,67720.0708482006,382379.643765736,159357.980769262,623946.904432688,175981223.534581,27297856.1984929,203279079.733074,0.0359160094356194,0.0209347372985915,6,6,8,35,1.2,14,22,60,17
"4",4,14491.5274257901,67740.8022203874,378102.598471101,157542.802858775,617877.730976054,176197807.979055,27085194.0537703,203283002.032826,0.0359207113852682,0.0207974761158403,6,6,8,35,1.2,14,22,60,20
"5",5,14511.4119374129,67810.5617399809,426269.508418111,171560.706402282,680152.188497787,176061626.644408,27760889.4114483,203822516.055856,0.0358738353234341,0.0210542967296568,6,6,8,35,1.2,14,30,40,17
"6",6,14513.8812602665,67832.3952216663,421616.506455366,169565.937062544,673528.719999843,176289130.169312,27538854.1192029,203827984.288515,0.0358790468217265,0.0209141712232831,6,6,8,35,1.2,14,30,40,20
"7",7,14792.7697095736,69379.7051478729,329384.261357839,133976.459351649,547533.195566935,181748302.21034,25379035.6599959,207127337.870336,0.0363736937099807,0.0200595494328897,6,6,8,35,1.2,14,30,60,17
"8",8,14795.1737008376,69400.8158621559,325573.532415912,132385.665389936,542155.187368842,181963361.391127,25184185.8557762,207147547.246903,0.0363783422427976,0.0199268604919147,6,6,8,35,1.2,14,30,60,20
"9",9,10744.8397881756,50044.3716458033,505530.57183917,211015.385215994,777335.168489143,168674541.203384,30411898.8346262,199086440.03801,0.0352120630613951,0.0220891668033984,6,6,8,35,1.2,17,22,40,17
"10",10,10746.4330325005,50062.6029262787,500316.987590286,208733.76582402,769859.789373086,168898857.006496,30170897.4229015,199069754.429398,0.0352173662240192,0.0219466869163197,6,6,8,35,1.2,17,22,40,20
"11",11,11013.949372779,51574.5717822188,396291.247634832,166627.892043974,625507.660833804,175205657.575455,27411575.4584334,202617233.033888,0.0358572510399343,0.0210153337889748,6,6,8,35,1.2,17,22,60,17
"12",12,11015.5606618119,51592.4813887047,392002.444565209,164798.094671905,619408.581287631,175417318.465181,27201819.2624926,202619137.727674,0.0358618537922241,0.0208805196498353,6,6,8,35,1.2,17,22,60,20
"13",13,11027.4305525974,51635.1794798155,439812.472615988,178763.775687042,681238.858335443,175078432.817307,27943917.7771329,203022350.59444,0.0357771378223239,0.0211975146195624,6,6,8,35,1.2,17,30,40,17
"14",14,11029.1714483382,51654.1136863136,435165.851459666,176762.317253704,674611.453848021,175300114.134845,27724887.9615761,203025002.096421,0.0357823046158988,0.0210603907997783,6,6,8,35,1.2,17,30,40,20
"15",15,11288.7579818784,53153.268589138,342529.480348375,140838.663850105,547810.170769496,181383836.084282,25170315.5204115,206554151.604693,0.0363337254832982,0.0200626300648629,6,6,8,35,1.2,17,30,60,17
