"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,14747.9808362261,63725.0505320835,209759.96536662,80980.9055760949,369213.902311025,25659252.6434134,1143386112.84118,1169045365.4846,6,6,10,50,1.5,15,30,70,25,0.196131561220172,0.0489596137294873,0.245091174949659,2273,4249,4164,1407,2662,1826,1871,1828,1518
"2",2,14747.3039069582,63683.0892914411,215047.895586524,81921.9004276193,375400.189212542,25844731.5569844,1147053962.57959,1172898694.13657,6,6,10,50,1.5,15,30,70,20,0.200163569666251,0.0501988265544458,0.250362396220696,2309,4244,4163,1428,2690,1897,1974,1896,1574
"3",3,14742.349301845,63642.7458009621,220804.552096873,82986.5088697262,382176.156069407,26036657.5545549,1149719675.73955,1175756333.29411,6,6,10,50,1.5,15,30,70,15,0.203153718251971,0.0515561617644342,0.254709880016405,2339,4241,4159,1446,2722,1946,2068,1941,1620
"4",4,14485.4261650299,62268.795960952,282543.54900418,102737.88798945,462035.659119612,25995423.2767482,1163548386.01707,1189543809.29381,6,6,10,50,1.5,15,30,50,25,0.21758052289331,0.0675533054388328,0.285133828332142,2610,4192,4126,1698,3036,2162,2048,2159,1848
"5",5,14484.7461698533,62226.539976526,289586.452112091,104240.078296764,470537.816555234,26203332.7817568,1167404747.89187,1193608080.67363,6,6,10,50,1.5,15,30,50,20,0.221833255533222,0.0692564244020764,0.291089679935298,2641,4185,4125,1706,3058,2209,2132,2208,1879
"6",6,14479.6877883744,62185.4779303609,297246.518733722,105920.840737111,479832.525189568,26418232.3482885,1170259352.73635,1196677585.08464,6,6,10,50,1.5,15,30,50,15,0.225045093616157,0.0711183041252903,0.296163397741447,2668,4183,4123,1730,3081,2241,2212,2242,1908
"7",7,14422.2257657528,61957.9669433642,254551.375767725,104645.26329185,435576.831768693,25964457.5220532,1161446280.26178,1187410737.78383,6,6,10,50,1.5,15,22,70,25,0.215348540334564,0.062253176507118,0.277601716841682,2515,4181,4110,1712,2892,2128,2032,2130,1803
"8",8,14421.8002534057,61917.4162651702,261033.842005234,106014.583096342,443387.641620151,26173703.8461228,1165258626.32523,1191432330.17135,6,6,10,50,1.5,15,22,70,20,0.219556614946843,0.0638178074230985,0.283374422369941,2546,4179,4109,1734,2933,2182,2119,2182,1836
"9",9,14417.0005997497,61878.2096042308,268056.578897132,107540.183525798,451891.972626911,26388627.1179489,1168058840.7985,1194447467.91645,6,6,10,50,1.5,15,22,70,15,0.222711565368245,0.065521361787621,0.288232927155866,2568,4177,4105,1747,2957,2216,2204,2218,1864
"10",10,14157.4890222774,60493.8467764372,339606.045648691,133006.261961956,547263.643409362,26454576.8312108,1182795896.81631,1209250473.64752,6,6,10,50,1.5,15,22,50,25,0.23820099010351,0.0846258423027975,0.322826832406307,2834,4131,4060,1972,3224,2322,2219,2324,2007
