"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id.x","b2_calib_id.x","mh2_calib_id.x","mh3_calib_id.x","mh4_calib_id.x","mtb_calib_id.x","mtbh2_calib_id.x","mtbh3_calib_id.x","mtbh4_calib_id.x","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank","b1_calib_id.y","b2_calib_id.y","mh2_calib_id.y","mh3_calib_id.y","mh4_calib_id.y","mtb_calib_id.y","mtbh2_calib_id.y","mtbh3_calib_id.y","mtbh4_calib_id.y"
1068,4588.73123217038,16239.3637549806,41476.5029540511,36700.6167905047,99005.2147317068,44996654.9499262,590916275.122798,635912930.072725,0.018944943508521,0.0773585882776321,6.8,9.2,10,50,1.5,15,22,50,15,0.212311589137121,0,0.212311589137121,1,1007,1258,560,406,2038,2596,2058,324,6.8,9.2,10,50,1.5,15,22,50,15
1092,4585.17126922341,16234.2306482571,41501.3571213689,36802.9661632898,99123.7252021392,44583968.8104581,597191174.557044,641775143.367502,0.0189444114779435,0.0782523012798573,6.8,9.2,10,50,1.2,15,22,50,15,0.222618069023949,0.000108602618852747,0.222726671642802,2,1003,1257,571,409,2180,2549,2179,463,6.8,9.2,10,50,1.2,15,22,50,15
2316,4203.0457080146,14944.0280055203,37995.8258670763,42798.6832035086,99941.5827841198,45061827.2922368,589679654.617579,634741481.909816,0.0189541408591375,0.0771275026990002,8.4,8.4,10,50,1.5,15,22,50,15,0.210246354410406,0.000856321461176938,0.211102675871583,5,675,977,911,245,2015,2604,2023,316,8.4,8.4,10,50,1.5,15,22,50,15
2340,4198.86222618883,14937.474168283,38021.1746967148,42911.5854287901,100069.096519977,44645112.9955064,595928034.31041,640573147.305917,0.018953616627849,0.0780190095789906,8.4,8.4,10,50,1.2,15,22,50,15,0.220508663323017,0.000972623656841174,0.221481286979858,6,673,971,913,246,2160,2558,2159,453,8.4,8.4,10,50,1.2,15,22,50,15
2892,4522.09036371219,15848.2634011133,43787.5834214889,36010.17096506,100168.108151374,44725763.2696597,591906954.028385,636632717.298045,0.0189067538624445,0.0773178760299897,9.2,7.6,10,50,1.5,15,22,50,15,0.213579613181351,0.00106287867483995,0.214642491856191,7,918,1204,496,503,2063,2565,2079,364,9.2,7.6,10,50,1.5,15,22,50,15
2916,4518.60861975381,15842.6062239385,43806.8590194201,36101.0583777692,100269.132240882,44314914.3629138,598186451.010791,642501365.373705,0.0189062281397736,0.0782118064381416,9.2,7.6,10,50,1.2,15,22,50,15,0.223891572616772,0.00115492220478032,0.225046494821552,8,914,1202,510,505,2195,2517,2201,498,9.2,7.6,10,50,1.2,15,22,50,15
4092,5475.28412797124,18879.0104681978,35074.4638385387,40895.4000118096,100324.158446517,11565863.9343625,1092766544.41702,1104332408.35138,0.0125144958444008,0.100561124739641,10.8,6,10,35,1.5,15,22,50,15,0.924564580982767,0.00120503733738936,0.925769618320157,9,1404,1691,802,145,4451,873,4458,2745,10.8,6,10,35,1.5,15,22,50,15
4116,5472.80763969303,18873.654374558,35090.5289339791,41011.2997449583,100448.290693188,12157583.2989461,1102306489.87042,1114464073.16937,0.0132265736543655,0.101565049829868,10.8,6,10,35,1.2,15,22,50,15,0.938081671843576,0.00131804036842689,0.939399712212003,10,1401,1689,808,146,4544,1613,4545,2880,10.8,6,10,35,1.2,15,22,50,15
4140,4135.42498489148,14537.0522567687,39825.9202009778,41288.7009386966,99787.0983813346,45472503.4718928,590291433.757559,635763937.229452,0.0189775361897159,0.0774546530843987,10.8,6.8,10,50,1.5,15,22,50,15,0.212049024009697,0.000715320534129369,0.212764344543826,3,519,934,826,343,2036,2659,2042,331,10.8,6.8,10,50,1.5,15,22,50,15
4164,4131.30131568058,14529.8801039645,39845.2290915291,41389.2936124113,99895.7041235855,45058600.8892957,596575115.059053,641633715.948348,0.0189769746772058,0.078348420936928,10.8,6.8,10,50,1.2,15,22,50,15,0.222369977959727,0.00081445849616528,0.223184436455893,4,518,932,831,344,2175,2603,2169,471,10.8,6.8,10,50,1.2,15,22,50,15
