"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
387,5886.23944063991,21258.3688399566,36914.0674746302,55241.5267091269,119300.202464354,53201291.6495411,545201033.816661,598402325.466202,0.0201864967860737,0.0745278811742186,6,9.2,10,50,1.5,15,30,70,15,0.145207159242601,0.0177371877395333,0.162944346982134,217,1746,1880,1333,213,816,3865,820,8
961,6446.09156312669,23759.4858255928,47068.1647708414,50347.0622263545,127620.804385915,53659266.9434617,538775709.271975,592434976.215437,0.0201626022444478,0.0737415525105369,6.8,8.4,10,50,1.5,15,30,70,25,0.134339985103956,0.024568354847839,0.158908339951795,372,1995,2125,1175,630,663,3917,683,3
962,6450.22617403712,23782.0359968488,39788.546348761,46860.4085745629,116881.21709421,53417384.8532253,541881191.845786,595298576.699011,0.0201623100944266,0.0741943366986366,6.8,8.4,10,50,1.5,15,30,70,20,0.13956170115277,0.0157068252242631,0.155268526377033,196,2000,2127,1067,339,731,3886,752,2
963,6454.60861460057,23806.2358217407,33594.931615306,43332.2162734324,107187.99232508,53166170.3350406,545112066.258632,598278236.593673,0.0201620130175501,0.0746646867887761,6.8,8.4,10,50,1.5,15,30,70,15,0.144981733378829,0.00735201918636824,0.152333752565197,63,2004,2133,921,109,813,3859,816,1
987,6453.49862411076,23805.1903393103,33605.1833516615,43420.9008645444,107284.773179627,52652577.3499252,551133619.378878,603786196.728804,0.0201615710945327,0.0755570859711147,6.8,8.4,10,50,1.2,15,30,70,15,0.154965354152361,0.00743726261355633,0.162402616765917,64,2003,2131,924,110,975,3786,959,6
1538,7061.96114786267,26570.9446175951,40678.3195753671,38703.8383024434,113015.063643268,51952854.8876099,550466026.372738,602418881.260348,0.0199936887319378,0.0747357961402251,7.6,7.6,10,50,1.5,15,30,70,20,0.152491248495962,0.0124176577740371,0.164908906269999,137,2266,2352,691,377,930,3700,946,10
1539,7064.60724703265,26582.4613833898,36758.9287554914,36017.4609767672,106423.458362681,51719230.5751581,553578315.174811,605297545.749969,0.0199933354595401,0.0751850326939063,7.6,7.6,10,50,1.5,15,30,70,15,0.157696825723281,0.00667726944354755,0.164374095166828,57,2268,2355,497,206,1017,3666,1024,9
2211,5868.19342429217,21194.0465870787,36327.3581209678,52995.246146802,116384.844279141,52996118.1908106,546258165.86205,599254284.052861,0.0201741332690739,0.0746334523144552,8.4,7.6,10,50,1.5,15,30,70,15,0.146754237831812,0.0152876071772579,0.16204184500907,188,1738,1872,1265,187,836,3832,848,5
2786,6440.5470864856,23754.7037220904,40316.156037622,45702.2867351787,116213.693581377,52493494.6317478,547247232.816525,599740727.448273,0.0200768261079987,0.0744968564591686,9.2,6.8,10,50,1.5,15,30,70,20,0.147637081189274,0.0151428524592315,0.162779933648505,181,1992,2120,1029,362,852,3766,865,7
2787,6444.18014003644,23774.0685175803,34775.9582852574,42380.5054037703,107374.712346644,52247425.44685,550462828.758189,602710254.205039,0.0200764635410052,0.0749627927506695,9.2,6.8,10,50,1.5,15,30,70,15,0.153018712047701,0.00751644550253245,0.160535157550234,65,1997,2123,885,131,941,3737,945,4
