"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
58,13086.1803287617,60931.1824598814,469852.387686015,192117.421572261,735987.172046919,307031396.256689,13320920.4521208,320352316.70881,0.0460714389992814,0.0155875543242274,6,6,10,35,1.5,15,22,50,25,0.00655560413460206,0.594180281494009,0.600735885628611,4538,4109,4058,4174,4624,8,12,380,2095
59,13079.8750886678,60897.1010215168,479345.693607815,195091.231478576,748413.901196576,306074822.763116,13647876.9183522,319722699.681468,0.0460677623352347,0.0158592032988843,6,6,10,35,1.5,15,22,50,20,0.00484995393567022,0.601622577116982,0.606472531052652,4545,4107,4050,4198,4636,6,8,641,2102
60,13075.9548063588,60858.4869336272,489550.809762384,198294.391829266,761779.643331637,305413457.683884,13918486.7579789,319331944.441863,0.0460541942640347,0.016155285524555,6,6,10,35,1.5,15,22,50,15,0.0037905423380062,0.609558600435224,0.61334914277323,4558,4105,4045,4212,4646,4,6,877,2111
82,13088.347524436,60939.4209502811,469766.486055518,192030.639423741,735824.893953976,304690031.453098,14211313.1128946,318901344.565993,0.0460385223548246,0.0165666761878112,6,6,10,35,1.2,15,22,50,25,0.00262235340127163,0.594082680188657,0.596705033589929,4537,4110,4063,4172,4623,3,4,1133,2089
83,13082.0311721594,60905.2441118612,479275.423445523,195014.930350168,748277.629079712,303739905.952382,14561911.487513,318301817.439895,0.0460322632286762,0.0168392091006049,6,6,10,35,1.2,15,22,50,20,0.000994561756463572,0.601541301034594,0.602535862791057,4544,4108,4054,4197,4635,2,2,1381,2097
84,13078.0969077997,60866.5411198238,489499.006520329,198230.262732983,761673.907280936,303081561.48086,14854229.4702365,317935790.951097,0.0460257901903638,0.0171370528178151,6,6,10,35,1.2,15,22,50,15,0,0.609496093186108,0.609496093186108,4557,4106,4047,4211,4645,1,1,1517,2107
94,20393.4210251707,95494.2422211467,445549.923338222,179428.599785218,740866.186369757,306170164.956075,14188008.1476196,320358173.103695,0.0461145034089182,0.0164270985263002,6,6,10,35,1.2,10,22,50,25,0.00657146140112269,0.597109730265083,0.603681191666206,4539,4662,4668,4095,4585,9,9,1115,2099
95,20386.4484957947,95457.2464383128,455091.015007613,182389.801354691,753324.511296411,305193155.479534,14544576.7561057,319737732.23564,0.0461079866124665,0.0167099248207392,6,6,10,35,1.2,10,22,50,20,0.0048906971069256,0.604546465555333,0.609437162662258,4547,4660,4666,4117,4599,7,5,1369,2106
96,20381.2082469732,95414.5067886675,465376.692760484,185586.656236906,766759.06403303,304507715.879988,14844179.1580113,319351895.037999,0.0461012466523209,0.0170185673061077,6,6,10,35,1.2,10,22,50,15,0.00384464788646046,0.61249735343716,0.61634200132362,4563,4658,4664,4146,4615,5,3,1510,2114
756,11556.0424280976,52888.9277527907,427075.91306009,166297.461211565,657818.344452543,305831358.458161,14609808.1125915,320441166.570753,0.0461617257606272,0.0167474394863843,6.8,6,10,35,1.2,15,22,50,15,0.00679616590170535,0.545849327383501,0.552645493285206,4429,3860,3779,4013,4559,10,7,1413,2020
