"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
534,4147.5672073661,14027.9659652387,24189.8696242141,25800.2460349459,68165.6488317648,403997331.128783,83096064.4529286,487093395.581711,0.0516774638116346,0.0362778376791634,6,10,10,35,1.5,15,30,50,15,0.0621947902509345,0.00232659209154934,0.0645213823424838,6,956,1085,95,65,1343,1244,3520,68
558,4143.68964775539,14022.1225454596,24211.2135286079,25876.1426488144,68253.1683706372,401290233.278046,85947665.5400137,487237898.81806,0.051637963063281,0.0372249066048366,6,10,10,35,1.2,15,30,50,15,0.0628014188203639,0.00248454519490607,0.06528596401527,8,954,1083,100,66,1359,1148,3679,71
1212,3666.80274510339,12978.1596899138,24893.7627124958,25344.2970671939,66883.0222147069,389103219.702797,91593744.2016754,480696963.904473,0.0508369811463299,0.0374735035721415,6.8,10,10,35,1.5,15,22,50,15,0.0352516568344584,0,0.0352516568344584,1,738,707,67,75,673,700,3987,1
1236,3660.95924361946,12968.5875818376,24916.6487091867,25429.6943670903,66975.889901734,386461336.613789,94553365.8214706,481014702.435259,0.0507976888766851,0.0384174094701205,6.8,10,10,35,1.2,15,22,50,15,0.0365942550245389,0.000169200354833574,0.0367634553793725,2,734,702,71,76,704,603,4141,2
2460,3471.11920590645,12563.1023509878,22305.4658536831,29422.8193919168,67762.5068024941,390699065.682443,90562787.2138143,481261852.896257,0.0509388988989137,0.0373062268544512,8.4,9.2,10,35,1.5,15,22,50,15,0.0376382780732975,0.00159769854882699,0.0392359766221244,3,602,415,451,25,735,758,3930,5
2484,3464.66982554121,12552.1033494109,22331.6504495285,29517.7548210856,67866.1784455663,388055529.87851,93503614.7143636,481559144.592874,0.0508995785106579,0.0382493027022317,8.4,9.2,10,35,1.2,15,22,50,15,0.0388937546624047,0.00178534678962451,0.0406791014520292,4,598,409,465,26,771,657,4090,8
3036,3497.51232852717,11989.4744730311,28251.1197288209,25215.4822064194,68953.5887367985,388089412.809661,92307017.2872048,480396430.096866,0.050791192266785,0.0375597166653749,9.2,8.4,10,35,1.5,15,22,50,15,0.0339813484823428,0.00374501570726073,0.0377263641896035,9,420,459,61,233,635,660,4025,3
3060,3491.97500662163,11979.8191515439,28269.5313222587,25288.2157451484,69029.5412255726,385452099.459601,95285124.6948739,480737224.154475,0.0507516719297694,0.0385049030482032,9.2,8.4,10,35,1.2,15,22,50,15,0.0354218003090157,0.00388131364644684,0.0393031139554626,10,417,450,64,234,677,566,4180,6
4284,3284.58812719795,11460.2536161337,24707.8007419533,28697.5469481373,68150.1894334222,389812668.834986,91243916.9712602,481056585.806246,0.0508862592104342,0.0373823183824548,10.8,7.6,10,35,1.5,15,22,50,15,0.0367711993389565,0.00229868081569434,0.0390698801546508,5,269,175,354,73,711,728,3964,4
4308,3278.451354903,11449.122610223,24728.9887161783,28779.1320490546,68235.6947303588,387173131.371741,94201189.8637112,481374321.235453,0.0508468323242099,0.0383259533381929,10.8,7.6,10,35,1.2,15,22,50,15,0.0381132826614419,0.00245301729497515,0.040566299956417,7,264,169,363,74,749,633,4120,7
