"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
58,13494.9162482703,59618.7789808975,430207.520678976,193102.18010299,696423.396011134,360702334.988876,111558825.678999,472261160.667875,0.0491449045474291,0.0408301433494456,6,6,10,35,1.5,15,22,50,25,0,0.525662336629364,0.525662336629364,4440,4109,4067,4190,4524,1,14,4679,2070
59,13488.3680838455,59584.4562255684,439681.444736684,196056.329755767,708810.598801865,359632866.912474,112755072.718916,472387939.63139,0.0491410266894803,0.041105266995709,6,6,10,35,1.5,15,22,50,20,0.000538129139121701,0.532545721325777,0.533083850464899,4452,4105,4065,4205,4541,2,9,4689,2078
60,13484.152469648,59545.8137422306,449931.890389414,199239.459577721,722201.316179013,358887442.589946,113829860.094881,472717302.684826,0.0491272422307174,0.0414061936977752,6,6,10,35,1.5,15,22,50,15,0.00193581434992533,0.539919428256006,0.541855242605931,4470,4101,4063,4226,4562,4,6,4696,2095
70,20764.7815480952,94241.4123489733,405855.801865537,180473.227537755,701335.223300361,361946527.794288,110884997.646149,472831525.440437,0.0492049377355347,0.0406767268551532,6,6,10,35,1.5,10,22,50,25,0.00242041637288337,0.528399032697551,0.530819449070434,4446,4661,4667,4106,4484,5,22,4675,2077
71,20757.700424329,94203.195944486,415312.119408996,183403.8015063,713676.817284111,360847639.508553,112114986.557645,472962626.066198,0.0492005433684219,0.0409621591930759,6,6,10,35,1.5,10,22,50,20,0.00297655239052529,0.535233335496897,0.538209887887422,4457,4659,4665,4133,4494,8,15,4686,2085
82,13497.1919448821,59626.7540787615,430134.939871732,193013.178187097,696272.064082472,358115504.427791,114930863.769999,473046368.19779,0.0491040455361711,0.0418046188624055,6,6,10,35,1.2,15,22,50,25,0.00333175074737687,0.525577866844624,0.528909617592001,4439,4110,4068,4189,4522,9,4,4699,2075
154,11130.8301947237,47332.9278900904,329622.049679879,142307.126569173,530392.934333866,365263540.020895,107691915.086147,472955455.107043,0.0493907157337264,0.0401220351013654,6,6.8,10,35,1.5,15,22,50,25,0.00294613478283114,0.426693586590083,0.429639721372914,4126,3619,3611,3793,4270,7,46,4631,1885
730,11956.4180627064,51667.4075639162,367494.332765578,161398.345042181,592516.503434382,363535425.988459,109178488.409641,472713914.3981,0.0492977277379833,0.0404088926898882,6.8,6,10,35,1.5,15,22,50,25,0.00192143829397,0.46532577229957,0.46724721059354,4269,3843,3815,3972,4391,3,32,4656,1969
731,11950.4229973509,51636.3956463827,376766.283865174,164235.436698061,604588.539206969,362386235.170382,110467753.978158,472853989.14854,0.049292545558301,0.0407142029970005,6.8,6,10,35,1.5,15,22,50,20,0.00251571412307723,0.472593837325426,0.475109551448503,4296,3841,3807,3992,4412,6,25,4672,1986
1402,10436.9396031482,43884.3577508454,305568.772711594,130881.077196493,490771.147262081,365733582.00703,107319666.534014,473053248.541044,0.049456214005991,0.0400046126156326,7.6,6,10,35,1.5,15,22,50,25,0.00336093282720332,0.400861055039674,0.404221987866877,4012,3479,3472,3656,4162,10,53,4625,1822
