"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
1212,3789.48772311365,13661.2714510989,27288.4559800767,28291.556172633,73030.7713269222,389710086.68205,90793078.0364795,480503164.71853,0.0508520480324059,0.0372805449336184,6.8,10,10,35,1.5,15,22,50,15,0.0348352323474286,0,0.0348352323474286,1,778,724,142,69,657,704,3974,1
1236,3783.75798496872,13653.5659493004,27330.0254642407,28405.0901423683,73172.4395408781,387077127.09013,93719846.6001345,480796973.690265,0.0508128725541442,0.0382190109261487,6.8,10,10,35,1.2,15,22,50,15,0.0360714932223984,0.00024405792475748,0.0363155511471558,2,775,718,151,70,687,608,4125,3
1788,3863.58862166317,13349.3206285433,35084.8046835352,25267.2448898383,77564.95882358,386813999.930132,92961745.3286433,479775745.258775,0.0507077055829049,0.0377301083247461,7.6,9.2,10,35,1.5,15,22,50,15,0.0317728400777322,0.00769735069899427,0.0394701907767265,23,690,783,9,382,566,596,4091,6
1812,3858.69610215729,13342.5401811781,35114.0363643004,25354.2334505978,77669.5060982336,384188580.037209,95938564.5833288,480127144.620538,0.0506683468512428,0.0386722454924742,7.6,9.2,10,35,1.2,15,22,50,15,0.0332524999467047,0.00787214109484534,0.0411246410415501,25,688,778,10,383,610,509,4236,8
2460,3596.88990179495,13269.932616325,25397.3117147886,32653.2242910377,74917.3585239463,391179302.351712,90064650.2752305,481243952.626942,0.0509278558455515,0.0370976444109801,8.4,9.2,10,35,1.5,15,22,50,15,0.0379515235923823,0.00323094727215476,0.0411824708645371,9,670,458,626,17,737,759,3936,9
2484,3590.55075103919,13260.7885299383,25444.5599808124,32777.5738042836,75073.4730660735,388544301.344597,92979191.613069,481523492.957666,0.0508885409181838,0.0380342927398886,8.4,9.2,10,35,1.2,15,22,50,15,0.0391268496095085,0.00349647505045533,0.0426233246599638,10,668,444,638,21,772,659,4092,10
3036,3603.58462654991,12560.3316255914,30254.5452294936,27656.0428776339,74074.5043592687,388505625.894225,91919498.3517498,480425124.245975,0.0507785630561522,0.0374546950378608,9.2,8.4,10,35,1.5,15,22,50,15,0.0345067976963959,0.00179257335555098,0.0362993710519469,4,472,470,89,125,641,656,4033,2
3060,3598.14927438867,12552.3113314957,30288.6898462947,27753.5910755712,74192.7415277503,385874695.65232,94874822.3861814,480749518.038502,0.0507391113406999,0.0383945807187133,9.2,8.4,10,35,1.2,15,22,50,15,0.0358718395201821,0.0019948428294215,0.0378666823496036,7,465,463,99,126,681,563,4186,4
4284,3393.67826448206,12053.699955821,27160.9177912888,31386.1590854016,73994.4550969935,390232662.686475,90854189.3226934,481086852.009168,0.0508736909239542,0.0372762555491486,10.8,7.6,10,35,1.5,15,22,50,15,0.0372908449474546,0.00165554064848334,0.0389463855959379,3,296,174,470,65,717,725,3978,5
4308,3387.66526157948,12044.3321306288,27199.4164198888,31494.0787871507,74125.4925992478,387599762.291922,93788456.99124,481388219.283162,0.0508343348288479,0.038214515130004,10.8,7.6,10,35,1.2,15,22,50,15,0.0385581346885561,0.00187981921596062,0.0404379539045167,6,291,170,484,66,756,626,4131,7
