sim_id,HIV_neg_female_mse,HIV_neg_male_mse,HIV_pos_female_mse,HIV_pos_male_mse,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
513,4525.865681,15281.36259,80557.08981,18380.71334,118745.0314,173702319.9,38310306.4,212012626.4,0.037138428,0.026853196,6,10,8,35,1.2,14,22,40,17,425,615,566,7,649
519,4791.972247,17286.80014,19775.69815,40325.59855,82180.06909,199919068,27319308.79,227238376.8,0.039342738,0.022836633,6,10,8,35,1.2,14,30,60,17,173,703,636,448,4
525,3578.833296,9802.666333,50431.9947,17873.44953,81686.94386,186436734.1,33530972.61,219967706.7,0.038194878,0.02501349,6,10,8,35,1.2,17,30,40,17,163,241,192,3,458
527,3505.414189,9887.260987,21203.83187,34975.21738,69571.72443,198936339.7,28518883.39,227455223.1,0.039203438,0.023082804,6,10,8,35,1.2,17,30,60,17,8,254,153,388,29
529,4530.250668,15286.15304,80579.37976,18392.52276,118788.3062,174950701.2,36517457.75,211468158.9,0.037157146,0.025922885,6,10,8,35,1.5,14,22,40,17,427,616,568,8,650
535,4795.00991,17288.20664,19755.32872,40241.62052,82080.16578,201526768.5,25784202.59,227310971.1,0.039361152,0.021866874,6,10,8,35,1.5,14,30,60,17,170,704,637,445,3
541,3586.098228,9810.547405,50424.96817,17829.12267,81650.73646,187961953.6,31764197.3,219726150.9,0.03821353,0.024033855,6,10,8,35,1.5,17,30,40,17,162,242,199,1,457
543,3511.944082,9893.920393,21185.45946,34896.91355,69488.23749,200538764.6,26962274.52,227501039.1,0.039222279,0.022110492,6,10,8,35,1.5,17,30,60,17,7,255,156,386,28
641,3829.236517,10511.72321,30448.20314,24576.38555,69365.54842,179984480.2,35885251.97,215869732.2,0.037607389,0.025818695,6,11,8,35,1.2,14,22,40,17,6,318,342,183,245
645,3770.763723,10528.5792,20513.44621,46892.22632,81705.01546,195797725.3,29827256.04,225624981.4,0.038945104,0.02364641,6,11,8,35,1.2,14,30,40,17,164,326,310,530,10
657,3836.17186,10519.44207,30429.0334,24492.94158,69277.58891,181459872,34049123.62,215508995.6,0.037626171,0.024845633,6,11,8,35,1.5,14,22,40,17,5,323,345,181,244
661,3777.017051,10535.1219,20479.23978,46783.33008,81574.70881,197376528,28215302.47,225591830.5,0.038963622,0.022675723,6,11,8,35,1.5,14,30,40,17,158,329,313,528,9
1411,3892.254973,11705.84108,19509.41748,46854.48189,81961.99542,193324952.6,29983698.75,223308651.4,0.03874142,0.023601951,7,10,8,35,1.2,14,22,60,17,168,413,374,529,2
1417,4133.977083,10687.26656,51524.58599,17889.47564,84235.30527,177030777.8,37267761.37,214298539.2,0.037355046,0.026314663,7,10,8,35,1.2,17,22,40,17,197,335,443,4,478
1419,3839.190792,9655.702091,19958.67434,40892.31526,74345.88249,191843133.2,30403504.5,222246637.7,0.038621343,0.023762607,7,10,8,35,1.2,17,22,60,17,61,223,347,458,7
1421,3823.811497,9640.547972,26849.38137,28199.78041,68513.52125,190947578,31867908.79,222815486.8,0.038565727,0.024477277,7,10,8,35,1.2,17,30,40,17,4,221,338,286,188
1427,3897.463356,11710.92712,19482.48934,46748.55985,81839.43966,194872311.7,28382341.56,223254653.2,0.038759403,0.022638646,7,10,8,35,1.5,14,22,60,17,165,415,376,526,1
1433,4144.660051,10700.67428,51519.57304,17834.14674,84199.05411,178487479.8,35381999.85,213869479.7,0.037373876,0.025337625,7,10,8,35,1.5,17,22,40,17,196,336,447,2,477
1435,3848.910105,9667.581262,19934.32691,40792.67477,74243.49305,193382251.1,28785887.66,222168138.8,0.038639365,0.022798414,7,10,8,35,1.5,17,22,60,17,59,224,350,457,6
1437,3833.546719,9652.319884,26830.11021,28122.06414,68438.04096,192500705.9,30168239.29,222668945.2,0.038584442,0.023499893,7,10,8,35,1.5,17,30,40,17,3,222,344,283,187
1537,3914.649247,10181.00656,19961.07376,46309.92668,80366.65624,183293581.9,34063140.38,217356722.3,0.037899481,0.025126535,7,11,8,35,1.2,14,22,40,17,145,288,379,519,8
1553,3918.182355,10178.4774,19871.85773,46317.09591,80285.61339,185104531.2,32061695.01,217166226.2,0.037933615,0.024053342,7,11,8,35,1.5,14,22,40,17,143,287,380,520,5
2177,4075.283095,12885.99906,64909.97875,18052.81707,99924.07797,175881823.3,38254144.07,214135967.3,0.0372611,0.026675188,8,9,8,35,1.2,14,22,40,17,328,495,435,6,563
2185,3672.198663,9396.395071,73990.70692,18474.25087,105533.5515,174670174.7,38865939.01,213536113.7,0.037169225,0.026876558,8,9,8,35,1.2,17,22,40,17,368,187,248,10,615
2187,3500.765541,8936.248367,26477.67968,29483.59289,68398.28647,189209943.5,31554069.4,220764012.9,0.038396974,0.02424801,8,9,8,35,1.2,17,22,60,17,2,119,149,310,176
2193,4080.088974,12890.59878,64912.4114,18012.48751,99895.58667,177336810,36325963.6,213662773.6,0.037280109,0.025693733,8,9,8,35,1.5,14,22,40,17,327,496,436,5,564
2201,3681.441332,9407.873933,73991.79818,18438.94687,105520.0603,176115883.6,36916789.09,213032672.7,0.037188351,0.02589401,8,9,8,35,1.5,17,22,40,17,367,190,251,9,616
2203,3509.082732,8946.128933,26462.52679,29409.38777,68327.12622,190736137.8,29885320.81,220621458.6,0.038415142,0.023279911,8,9,8,35,1.5,17,22,60,17,1,122,155,309,175
