"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
523,3993.27704878715,10503.185616385,26554.7960539398,23683.7984372033,64735.0571563153,234408639.66316,11390123.0578355,245798762.720995,0.0403554922016446,0.0182408277748962,6,10,8,35,1.2,17,22,60,17,4,209,212,240,25
539,3997.68447716009,10507.1697133528,26465.2645705216,23551.9799151595,64522.0986761941,235513267.886296,11303495.6461532,246816763.532449,0.0403984136926633,0.0182408277748962,6,10,8,35,1.5,17,22,60,17,3,213,217,237,21
2955,3724.43173037623,9807.25479349529,27649.5996857149,22323.2254636705,63504.5116732569,233764008.996284,11416975.6603884,245180984.656673,0.0402666776844164,0.0183532999266294,9,8,8,35,1.2,17,22,60,17,2,127,71,207,36
2956,3716.23695168661,9780.64890536576,29707.8744255547,23448.9019824874,66653.6622650945,234091870.627686,11381353.4398007,245473224.067486,0.0402726172694584,0.0183532999266294,9,8,8,35,1.2,17,22,60,20,10,119,64,234,77
2971,3728.66505985874,9811.25026920042,27575.3400133349,22208.7555851609,63324.010927555,234867094.874016,11320308.7818869,246187403.655903,0.0403014909255938,0.0183532999266294,9,8,8,35,1.5,17,22,60,17,1,129,75,203,35
2972,3720.46147880128,9784.63790896368,29622.1376731867,23327.5001143801,66454.7371753318,235198036.548882,11292333.646913,246490370.195795,0.0403125757752734,0.0183532999266294,9,8,8,35,1.5,17,22,60,20,8,122,68,231,74
4619,3637.16179538737,8826.99439457949,25106.2670963758,28910.7105658115,66481.1338521541,235378701.566487,11290147.0845419,246668848.651029,0.0404230143212825,0.0180000994407896,11,7,8,35,1.2,17,22,60,17,9,21,27,339,4
4635,3641.93860632136,8831.86008077608,25013.9669767144,28774.167568572,66261.9332323839,236485688.623602,11207716.5543916,247693405.177993,0.0404629738301477,0.0180000994407896,11,7,8,35,1.5,17,22,60,17,7,23,29,335,3
5387,3499.12772710807,9283.79004686355,30211.1073708538,22191.7202295273,65185.7453743528,232275465.882015,11149846.5140709,243425312.396086,0.0401814353674888,0.0180179677995464,12,6,8,35,1.2,17,22,60,17,6,54,9,202,84
5403,3503.18293043067,9287.73575621552,30150.0609775041,22092.762663431,65033.7423275813,233374522.109534,11039354.8596765,244413876.969211,0.0402072890114532,0.0180179677995464,12,6,8,35,1.5,17,22,60,17,5,56,11,201,83
