"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",33,14224.8605030554,68547.4449468389,478646.348718131,193106.303591408,754524.957759433,141048231.804644,19622412.9190153,160670644.723659,0.0318056505323973,0.017926785534915,6,6,6,40,1.2,14,22,40,17,5140,5766,5522,4385,5467
"2",34,14227.0832677552,68565.843088541,475300.473497125,191858.632052989,749952.03190641,141173810.672567,19519116.260371,160692926.932938,0.0318064620418377,0.017926785534915,6,6,6,40,1.2,14,22,40,20,5123,5768,5524,4377,5457
"3",35,14498.3854210336,70117.7180289312,366274.100572334,147122.040655214,598012.244677513,146679983.204063,17447308.8662115,164127292.070274,0.0323544235276945,0.01795319610326,6,6,6,40,1.2,14,22,60,17,4797,5798,5556,3979,5088
"4",36,14500.7151253682,70136.2305200206,363664.524167623,146189.771620649,594491.241433661,146797626.386397,17361100.8451931,164158727.23159,0.0323542887274465,0.01795319610326,6,6,6,40,1.2,14,22,60,20,4786,5800,5560,3967,5064
"5",37,14529.3616187532,70245.4532770067,412772.402867547,160416.499444356,657963.717207664,147597173.14155,17749588.0626111,165346761.204161,0.0324708918796729,0.0179422957406223,6,6,6,40,1.2,14,30,40,17,4957,5806,5571,4128,5264
"6",38,14531.7230131197,70264.3305014947,409877.168481605,159356.701851488,654029.923847708,147719973.619319,17659426.3812207,165379400.00054,0.0324712399378504,0.0179422957406223,6,6,6,40,1.2,14,30,40,20,4947,5808,5573,4118,5253
"7",39,14794.7253776556,71786.0018671214,313466.719292223,121700.890773266,521748.337310266,153135579.73405,15938638.0308784,169074217.764928,0.0330279085547242,0.0179685220186064,6,6,6,40,1.2,14,30,60,17,4541,5838,5606,3649,4817
"8",40,14797.3507109979,71805.8200819333,311233.38124318,120919.907028478,518756.45906459,153248826.644747,15864299.140825,169113125.785572,0.0330267233692952,0.0179685220186064,6,6,6,40,1.2,14,30,60,20,4529,5840,5610,3640,4803
"9",41,10784.437164202,52274.0729327002,492720.993926624,200464.76511047,756244.269133996,140318682.187115,19805561.1363511,160124243.323466,0.0317133590131079,0.0178651240308288,6,6,6,40,1.2,17,22,40,17,5146,5332,4956,4448,5512
"10",42,10776.1222199822,52265.3277363905,488980.575481131,199120.846864653,751142.872302157,140631701.577664,19591776.3972507,160223477.974914,0.0317586535361586,0.0178651240308288,6,6,6,40,1.2,17,22,40,20,5129,5330,4953,4430,5505
